question_id,question,role,experience_band,difficulty,focus_area,topic,reference_keywords,reference_points
INT_00670,"As a Blockchain Developer, you need a top-K streaming counter over 50M events/minute with bounded memory. Outline your approach",Blockchain Developer,senior_professional,hard,technical,Networking,blockchain|you|need|top-k|streaming|counter|over|events|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00671,"As a Blockchain Developer, describe when you communicated clearly under pressure while guiding others through a high-stakes delivery",Blockchain Developer,senior_professional,medium,personality,Behavioral,blockchain|you|communicated|clearly|under|pressure|while|guiding|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00672,"As a Blockchain Developer, describe when you prioritized conflicting urgent tasks while guiding others through a high-stakes delivery",Blockchain Developer,senior_professional,medium,personality,Behavioral,blockchain|you|prioritized|conflicting|urgent|tasks|while|guiding|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00673,"As a Blockchain Developer, describe when you pushed back on an unrealistic deadline while guiding others through a high-stakes delivery",Blockchain Developer,senior_professional,medium,personality,Behavioral,blockchain|you|pushed|back|unrealistic|deadline|while|guiding|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00674,"As a Blockchain Developer, describe when you recovered from a mistake that affected users while guiding others through a high-stakes delivery",Blockchain Developer,senior_professional,medium,personality,Behavioral,blockchain|you|recovered|from|mistake|that|affected|users|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00675,"As a Blockchain Developer, describe when you resolved a disagreement with a teammate while guiding others through a high-stakes delivery",Blockchain Developer,senior_professional,medium,personality,Behavioral,blockchain|you|resolved|disagreement|teammate|while|guiding|others|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00676,Describe how you mentored or unblocked a junior colleague on a critical Blockchain Developer deliverable,Blockchain Developer,senior_professional,medium,personality,Behavioral,you|mentored|unblocked|colleague|critical|blockchain|deliverable|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable|trust,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00677,Tell me about a time as a Blockchain Developer when you communicated clearly under pressure and changed how the team worked,Blockchain Developer,senior_professional,medium,personality,Behavioral,time|blockchain|you|communicated|clearly|under|pressure|and|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00678,Tell me about a time as a Blockchain Developer when you prioritized conflicting urgent tasks and changed how the team worked,Blockchain Developer,senior_professional,medium,personality,Behavioral,time|blockchain|you|prioritized|conflicting|urgent|tasks|and|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00679,Tell me about a time as a Blockchain Developer when you recovered from a mistake that affected users and changed how the team worked,Blockchain Developer,senior_professional,medium,personality,Behavioral,time|blockchain|you|recovered|from|mistake|that|affected|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00680,Tell me about a time as a Blockchain Developer when you resolved a disagreement with a teammate and changed how the team worked,Blockchain Developer,senior_professional,medium,personality,Behavioral,time|blockchain|you|resolved|disagreement|teammate|and|changed|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00681,Tell me about a time you pushed back on a risky shortcut as a Blockchain Developer. What was the outcome?,Blockchain Developer,senior_professional,medium,personality,Behavioral,time|you|pushed|back|risky|shortcut|blockchain|was|analyze|root cause|solution|debug|investigate|hypothesis|diagnose|fix|systematic|evidence|trade-off|scenario|honest|ethical|transparent|accountable,"Use STAR format with a real example relevant to Blockchain Developer: situation, task, action, result, and what you learned."
INT_00682,"As a Blockchain Developer, explain how you would monitor smart contracts for abnormal activity after deployment",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|monitor|smart|contracts|for|abnormal|activity|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00683,"As a Blockchain Developer, how would you mitigate front-running risks for a on-chain auction feature?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|mitigate|front-running|risks|for|on-chain|auction|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00684,"As a Blockchain Developer, how would you prioritize gas optimization improvements against new feature pressure?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|prioritize|gas|optimization|improvements|against|new|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00685,"As a Blockchain Developer, how would you prioritize mainnet versus testnet failures improvements against new feature pressure?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|prioritize|mainnet|versus|testnet|failures|improvements|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00686,"As a Blockchain Developer, how would you prioritize on-chain upgrade safety improvements against new feature pressure?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|prioritize|on-chain|upgrade|safety|improvements|against|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00687,"As a Blockchain Developer, how would you prioritize smart contract reentrancy risks improvements against new feature pressure?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|prioritize|smart|contract|reentrancy|risks|improvements|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00688,"As a Blockchain Developer, how would you reduce operational risk when your team owns gas optimization?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|reduce|operational|risk|team|owns|gas|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00689,"As a Blockchain Developer, how would you reduce operational risk when your team owns mainnet versus testnet failures?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|reduce|operational|risk|team|owns|mainnet|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00690,"As a Blockchain Developer, how would you reduce operational risk when your team owns on-chain upgrade safety?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|reduce|operational|risk|team|owns|on-chain|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00691,"As a Blockchain Developer, how would you reduce operational risk when your team owns smart contract reentrancy risks?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|reduce|operational|risk|team|owns|smart|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00692,"As a Blockchain Developer, how would you reduce operational risk when your team owns transaction failure debugging?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|you|reduce|operational|risk|team|owns|transaction|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00693,"As a Blockchain Developer, what standards would you set for code and reviews around gas optimization?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|standards|you|set|for|code|and|reviews|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00694,"As a Blockchain Developer, what standards would you set for code and reviews around mainnet versus testnet failures?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|standards|you|set|for|code|and|reviews|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00695,"As a Blockchain Developer, what standards would you set for code and reviews around on-chain upgrade safety?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|standards|you|set|for|code|and|reviews|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00696,"As a Blockchain Developer, what standards would you set for code and reviews around smart contract reentrancy risks?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|standards|you|set|for|code|and|reviews|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00697,"As a Blockchain Developer, what standards would you set for code and reviews around transaction failure debugging?",Blockchain Developer,senior_professional,medium,technical,Networking,blockchain|standards|you|set|for|code|and|reviews|tcp|udp|latency|firewall|routing|dns|tls|packet|subnet|vpn|load balancer|proxy|http|https|port|bandwidth,"Explain the core Networking concepts for a Blockchain Developer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00698,"As a Business Analyst, describe a situation where miscommunication caused a delay. What did you learn?",Business Analyst,fresher,easy,personality,Behavioral,business|situation|where|miscommunication|caused|delay|did|you|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00699,"As a Business Analyst, tell me about a time you had to explain a technical idea to someone without a technical background",Business Analyst,fresher,easy,personality,Behavioral,business|time|you|had|technical|idea|someone|without|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|writing|team,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00700,Describe feedback from a mentor or teammate that changed how you approach your work as a Business Analyst,Business Analyst,fresher,easy,personality,Behavioral,feedback|from|mentor|teammate|that|changed|you|approach|explain|clarify|listen|audience|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing|team,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00701,Describe how you stayed coachable as a Business Analyst when feedback challenged your approach,Business Analyst,fresher,easy,personality,Behavioral,you|stayed|coachable|business|feedback|challenged|approach|explain|clarify|listen|audience|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing|team|align,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00702,Tell me about a time as a Business Analyst when you communicated clearly under pressure on a learning task,Business Analyst,fresher,easy,personality,Behavioral,time|business|you|communicated|clearly|under|pressure|learning|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|non-technical|technical|writing|team|align,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00703,Tell me about a time as a Business Analyst when you prioritized conflicting urgent tasks on a learning task,Business Analyst,fresher,easy,personality,Behavioral,time|business|you|prioritized|conflicting|urgent|tasks|learning|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00704,Tell me about a time as a Business Analyst when you pushed back on an unrealistic deadline on a learning task,Business Analyst,fresher,easy,personality,Behavioral,time|business|you|pushed|back|unrealistic|deadline|learning|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00705,Tell me about a time as a Business Analyst when you recovered from a mistake that affected users on a learning task,Business Analyst,fresher,easy,personality,Behavioral,time|business|you|recovered|from|mistake|that|affected|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00706,Tell me about a time as a Business Analyst when you resolved a disagreement with a teammate on a learning task,Business Analyst,fresher,easy,personality,Behavioral,time|business|you|resolved|disagreement|teammate|learning|task|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00707,Tell me about a time you asked for help early as a Business Analyst instead of staying stuck. What did you learn?,Business Analyst,fresher,easy,personality,Behavioral,time|you|asked|for|help|early|business|instead|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00708,"As a Business Analyst, describe a bug you fixed and how you verified the fix did not break other behavior",Business Analyst,fresher,easy,technical,DBMS,business|bug|you|fixed|and|verified|the|fix|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00709,"As a Business Analyst, describe how you would clarify an ambiguous stakeholder request before development starts",Business Analyst,fresher,easy,technical,DBMS,business|you|clarify|ambiguous|stakeholder|request|before|development|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00710,"As a Business Analyst, explain UAT planning with business users in plain language for a non-technical teammate",Business Analyst,fresher,easy,technical,DBMS,business|uat|planning|users|plain|language|for|non-technical|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00711,"As a Business Analyst, explain primary keys, foreign keys, and why referential integrity matters",Business Analyst,fresher,easy,technical,DBMS,business|primary|keys|foreign|and|why|referential|integrity|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00712,"As a Business Analyst, explain prioritizing conflicting scope requests in plain language for a non-technical teammate",Business Analyst,fresher,easy,technical,DBMS,business|prioritizing|conflicting|scope|requests|plain|language|for|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00713,"As a Business Analyst, explain requirements workshops with stakeholders in plain language for a non-technical teammate",Business Analyst,fresher,easy,technical,DBMS,business|requirements|workshops|stakeholders|plain|language|for|non-technical|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00714,"As a Business Analyst, explain the difference between a requirement and a user story with an example",Business Analyst,fresher,easy,technical,DBMS,business|the|difference|between|requirement|and|user|story|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00715,"As a Business Analyst, explain validating reporting metrics with operations in plain language for a non-technical teammate",Business Analyst,fresher,easy,technical,DBMS,business|validating|reporting|metrics|operations|plain|language|for|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00716,"As a Business Analyst, explain writing testable acceptance criteria in plain language for a non-technical teammate",Business Analyst,fresher,easy,technical,DBMS,business|writing|testable|acceptance|criteria|plain|language|for|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00717,"As a Business Analyst, how do you approach reading unfamiliar code in a team codebase?",Business Analyst,fresher,easy,technical,DBMS,business|you|approach|reading|unfamiliar|code|team|codebase|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00718,"As a Business Analyst, how do you break an unfamiliar prioritizing conflicting scope requests task into safe, reviewable steps?",Business Analyst,fresher,easy,technical,DBMS,business|you|break|unfamiliar|prioritizing|conflicting|scope|requests|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00719,"As a Business Analyst, how do you break an unfamiliar requirements workshops with stakeholders task into safe, reviewable steps?",Business Analyst,fresher,easy,technical,DBMS,business|you|break|unfamiliar|requirements|workshops|stakeholders|task|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00720,"As a Business Analyst, how do you break an unfamiliar validating reporting metrics with operations task into safe, reviewable steps?",Business Analyst,fresher,easy,technical,DBMS,business|you|break|unfamiliar|validating|reporting|metrics|operations|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00721,"As a Business Analyst, how do you break an unfamiliar writing testable acceptance criteria task into safe, reviewable steps?",Business Analyst,fresher,easy,technical,DBMS,business|you|break|unfamiliar|writing|testable|acceptance|criteria|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00722,"As a Business Analyst, what is database normalization, and why might you stop at 3NF instead of going further?",Business Analyst,fresher,easy,technical,DBMS,business|database|normalization|and|why|might|you|stop|index|query|sql|transaction|join|schema|locking|table|primary key|foreign key|acid|deadlock|partition|replic|view|trigger,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00723,"As a Business Analyst, what is the difference between unit tests and integration tests? Give examples from your experience",Business Analyst,fresher,easy,technical,DBMS,business|the|difference|between|unit|tests|and|integration|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00724,"As a Business Analyst, what would you check before your first pull request that touches UAT planning with business users?",Business Analyst,fresher,easy,technical,DBMS,business|you|check|before|first|pull|request|that|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00725,"As a Business Analyst, what would you check before your first pull request that touches prioritizing conflicting scope requests?",Business Analyst,fresher,easy,technical,DBMS,business|you|check|before|first|pull|request|that|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00726,"As a Business Analyst, what would you check before your first pull request that touches requirements workshops with stakeholders?",Business Analyst,fresher,easy,technical,DBMS,business|you|check|before|first|pull|request|that|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00727,"As a Business Analyst, what would you check before your first pull request that touches validating reporting metrics with operations?",Business Analyst,fresher,easy,technical,DBMS,business|you|check|before|first|pull|request|that|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00728,"As a Business Analyst, what would you check before your first pull request that touches writing testable acceptance criteria?",Business Analyst,fresher,easy,technical,DBMS,business|you|check|before|first|pull|request|that|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00729,"As a Business Analyst, write a SQL query to find employees who joined in the last 30 days and belong to a given department",Business Analyst,fresher,easy,technical,DBMS,business|write|sql|query|find|employees|who|joined|index|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic|view|trigger,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00730,"As a Business Analyst, tell me about a time you had to explain a technical topic simply to a non-technical colleague",Business Analyst,fresher,medium,personality,Behavioral,business|time|you|had|technical|topic|simply|non-technical|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|writing|team|align,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00731,Describe how you organized your work when you were new to a Business Analyst team and learning the codebase,Business Analyst,fresher,medium,personality,Behavioral,you|organized|work|were|new|business|team|and|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00732,"As a Business Analyst, explain how you would document a simple approval workflow for a finance team",Business Analyst,fresher,medium,technical,DBMS,business|you|document|simple|approval|workflow|for|finance|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00733,"As a Business Analyst, how do you break an unfamiliar UAT planning with business users task into safe, reviewable steps?",Business Analyst,fresher,medium,technical,DBMS,business|you|break|unfamiliar|uat|planning|users|task|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00734,"As a Business Analyst, what is a acceptance criterion, and why does it matter for QA and development?",Business Analyst,fresher,medium,technical,DBMS,business|acceptance|criterion|and|why|does|matter|for|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00735,"As a Business Analyst, what resources would you use to learn UAT planning with business users before changing shared team code?",Business Analyst,fresher,medium,technical,DBMS,business|resources|you|use|learn|uat|planning|users|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00736,"As a Business Analyst, what resources would you use to learn prioritizing conflicting scope requests before changing shared team code?",Business Analyst,fresher,medium,technical,DBMS,business|resources|you|use|learn|prioritizing|conflicting|scope|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00737,"As a Business Analyst, what resources would you use to learn requirements workshops with stakeholders before changing shared team code?",Business Analyst,fresher,medium,technical,DBMS,business|resources|you|use|learn|requirements|workshops|stakeholders|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00738,"As a Business Analyst, what resources would you use to learn validating reporting metrics with operations before changing shared team code?",Business Analyst,fresher,medium,technical,DBMS,business|resources|you|use|learn|validating|reporting|metrics|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00739,"As a Business Analyst, what resources would you use to learn writing testable acceptance criteria before changing shared team code?",Business Analyst,fresher,medium,technical,DBMS,business|resources|you|use|learn|writing|testable|acceptance|index|query|sql|transaction|join|schema|normalization|locking|table|database|primary key|foreign key|acid|deadlock|partition|replic,"Explain the core DBMS concepts for a Business Analyst, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00740,"As a Business Analyst, describe how you handled a crisis that affected customers and required cross-department coordination",Business Analyst,industry_veteran,hard,personality,Behavioral,business|you|handled|crisis|that|affected|customers|and|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00741,"As a Business Analyst, describe how you rebuilt trust with stakeholders after a significant delivery failure",Business Analyst,industry_veteran,hard,personality,Behavioral,business|you|rebuilt|trust|stakeholders|after|significant|delivery|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
INT_00742,"As a Business Analyst, share how you communicated clearly under pressure while setting direction on a multi-team initiative",Business Analyst,industry_veteran,hard,personality,Behavioral,business|you|communicated|clearly|under|pressure|while|setting|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|non-technical|technical|writing|team|align,"Use STAR format with a real example relevant to Business Analyst: situation, task, action, result, and what you learned."
