id,experience_years,experience_band,technical_score,personality_score,communication_score,attentiveness_score,eye_contact_score,filler_ratio,avg_answer_seconds,grammar_score,confidence_score,tab_switches,window_blur_events,screenshot_attempted,device_detected,gaze_off_over_20s,camera_available,mic_available,english_only_violation,final_score,decision
258,5.0,mid_level_expert,91,70,66,93,66,0.01,91,83,71,0,0,0,0,0,1,1,0,79,pass
259,0.9,fresher,27,0,15,6,35,0.189,27,42,37,0,0,0,0,0,1,0,0,9,fail
260,3.2,mid_level_expert,68,60,63,75,76,0.131,108,56,41,0,0,0,0,0,1,1,0,54,fail
261,1.6,junior_professional,92,98,61,82,75,0.064,57,100,85,0,0,0,0,0,1,0,0,85,fail
262,13.0,industry_veteran,56,64,90,89,59,0.044,54,62,56,0,0,0,0,0,1,1,0,69,fail
263,15.0,industry_veteran,100,80,74,85,86,0.141,95,72,79,0,0,0,0,0,1,1,0,77,pass
264,9.5,senior_professional,100,98,78,90,97,0.03,87,80,76,0,0,0,0,0,1,1,0,90,pass
265,10.5,industry_veteran,68,88,61,47,71,0.021,101,93,74,0,1,0,0,0,1,1,0,57,fail
266,5.0,mid_level_expert,77,50,82,71,50,0.068,119,74,47,0,0,0,0,0,1,1,0,55,fail
267,0.5,fresher,89,93,72,59,58,0.103,111,65,60,0,0,0,0,0,1,1,0,84,pass
268,14.7,industry_veteran,93,67,72,79,87,0.167,85,100,75,0,0,0,0,0,1,1,0,87,pass
269,3.7,mid_level_expert,50,50,50,58,50,0.113,128,65,33,0,0,0,1,0,1,1,0,46,fail
270,2.2,junior_professional,90,100,60,73,48,0.064,44,64,53,0,0,0,0,0,1,1,0,70,pass
271,1.2,junior_professional,86,76,86,84,66,0.172,59,59,88,0,0,0,0,0,1,1,0,87,pass
272,10.4,industry_veteran,77,83,71,71,66,0.114,123,63,73,0,0,0,0,0,1,1,0,66,fail
273,2.8,junior_professional,49,72,52,69,72,0.129,115,73,77,0,1,0,1,0,1,1,0,58,fail
274,8.6,senior_professional,72,53,86,85,92,0.085,68,78,56,0,0,0,0,1,1,1,0,71,fail
275,0.8,fresher,84,75,54,68,83,0.092,125,57,72,0,0,0,0,0,1,1,0,74,fail
276,8.0,senior_professional,86,90,81,70,69,0.055,36,66,86,0,0,0,0,0,1,1,0,73,pass
277,1.8,junior_professional,98,100,100,92,100,0.01,42,100,100,0,0,0,0,0,1,1,0,88,pass
278,0.7,fresher,50,82,81,59,55,0.092,56,64,65,0,0,0,0,0,1,1,0,57,fail
279,1.8,junior_professional,70,100,66,72,96,0.093,55,76,84,0,0,0,0,0,1,1,0,77,pass
280,6.8,senior_professional,43,70,46,64,50,0.142,58,72,61,0,0,0,0,0,1,1,0,52,fail
281,0.7,fresher,94,94,80,91,100,0.085,30,84,89,0,0,0,1,0,1,1,0,83,fail
282,7.3,senior_professional,85,73,85,96,96,0.033,35,76,88,0,0,0,0,0,1,1,0,74,pass
283,0.6,fresher,54,70,59,56,66,0.062,41,50,89,0,0,0,0,0,1,1,0,64,fail
284,9.8,senior_professional,63,54,86,74,94,0.19,42,64,63,0,0,0,0,0,1,1,0,64,fail
285,2.9,junior_professional,51,92,45,36,36,0.131,93,45,70,0,0,0,0,0,1,1,0,61,fail
286,3.0,mid_level_expert,84,92,83,85,88,0.107,107,71,70,0,0,0,0,0,1,1,0,89,pass
287,11.0,industry_veteran,76,72,94,100,99,0.01,122,84,99,0,0,0,0,0,1,1,0,85,pass
288,0.9,fresher,76,80,87,86,74,0.01,79,93,92,0,0,0,0,0,1,1,0,77,pass
289,3.9,mid_level_expert,60,59,83,73,73,0.124,117,67,80,0,0,0,0,0,1,1,0,75,pass
290,0.8,fresher,61,45,57,77,54,0.113,60,46,53,0,0,0,0,0,1,1,0,41,fail
291,6.4,senior_professional,60,55,68,54,64,0.113,35,51,41,0,0,0,0,0,1,1,0,39,fail
292,11.5,industry_veteran,100,87,74,83,53,0.095,96,100,100,0,0,0,0,0,1,1,0,84,pass
293,2.4,junior_professional,75,77,69,94,100,0.139,113,88,97,0,0,0,0,0,1,1,0,61,fail
294,5.8,mid_level_expert,100,92,84,91,90,0.067,27,80,97,0,0,0,0,0,1,1,0,89,pass
295,13.2,industry_veteran,98,45,86,92,58,0.11,99,83,69,0,0,0,0,0,1,1,0,69,fail
296,0.1,fresher,61,88,68,80,91,0.065,115,63,74,0,0,0,0,0,1,1,0,65,pass
297,13.4,industry_veteran,100,92,90,95,91,0.017,57,64,100,0,0,0,0,0,1,1,0,100,pass
298,13.3,industry_veteran,100,99,92,100,100,0.057,39,96,89,0,0,0,0,0,1,0,0,91,fail
299,15.0,industry_veteran,43,65,47,71,69,0.172,65,55,64,0,0,0,0,0,1,1,0,36,fail
300,7.7,senior_professional,100,75,88,90,46,0.093,106,70,90,0,0,0,0,0,1,1,0,82,pass
301,6.6,senior_professional,73,87,73,91,59,0.109,104,70,63,0,0,0,0,0,1,1,0,66,fail
302,6.7,senior_professional,80,74,77,87,57,0.01,92,56,84,0,0,0,0,0,1,1,0,71,pass
303,1.9,junior_professional,30,42,25,57,46,0.216,75,17,31,0,0,0,0,0,1,1,0,19,fail
304,7.6,senior_professional,51,70,44,68,39,0.162,124,17,69,0,0,0,0,0,1,1,0,48,fail
305,7.2,senior_professional,57,59,89,78,71,0.126,63,75,94,0,0,0,0,0,1,1,0,58,fail
306,5.5,mid_level_expert,69,96,75,77,100,0.028,98,99,94,0,0,1,1,0,1,1,0,92,fail
307,9.6,senior_professional,100,92,89,100,90,0.037,102,100,91,0,0,0,0,1,1,1,0,100,fail
308,0.8,fresher,42,60,60,53,38,0.139,74,50,34,0,0,0,0,0,1,1,0,46,fail
309,3.2,mid_level_expert,77,39,49,50,57,0.055,90,35,40,1,0,0,0,0,1,1,0,40,fail
310,0.8,fresher,63,94,77,76,90,0.066,79,77,79,0,0,0,0,0,1,1,0,67,fail
311,0.5,fresher,69,79,83,94,86,0.11,88,83,74,0,0,1,0,0,1,1,0,67,fail
312,1.3,junior_professional,89,59,89,96,92,0.026,109,82,97,0,0,0,0,0,1,1,1,79,fail
313,6.1,senior_professional,62,78,37,55,88,0.105,28,36,76,0,1,0,0,0,1,1,1,57,fail
314,6.6,senior_professional,76,60,77,54,52,0.17,70,66,51,0,0,0,0,0,1,1,0,64,fail
315,7.1,senior_professional,68,35,51,62,53,0.114,77,57,60,0,0,0,0,0,1,1,0,47,fail
316,8.0,senior_professional,48,58,43,69,62,0.128,64,54,90,0,0,0,0,0,1,1,1,51,fail
317,10.5,industry_veteran,42,46,56,50,51,0.073,35,61,44,0,0,0,0,0,1,1,0,32,fail
318,3.1,mid_level_expert,100,100,100,96,81,0.033,130,95,97,0,0,0,0,0,1,1,0,82,pass
319,2.2,junior_professional,33,66,40,64,52,0.128,117,64,62,0,0,0,0,0,1,1,0,44,fail
320,0.3,fresher,74,68,89,74,74,0.059,71,59,79,1,0,0,0,0,1,1,0,65,fail
321,2.1,junior_professional,51,61,35,74,62,0.162,111,57,41,0,0,0,0,0,1,1,0,40,fail
322,11.6,industry_veteran,57,45,60,43,52,0.149,33,44,32,0,0,0,0,0,1,1,0,36,fail
323,13.3,industry_veteran,100,89,90,98,76,0.027,76,100,76,0,0,0,0,0,1,1,0,86,pass
324,7.7,senior_professional,58,97,73,41,79,0.022,29,83,70,0,0,0,0,0,1,1,0,67,fail
325,11.0,industry_veteran,69,64,61,81,88,0.121,94,82,52,0,0,0,0,0,1,1,0,66,fail
326,0.9,fresher,97,65,77,87,71,0.048,109,84,77,0,0,0,0,0,1,1,0,71,pass
327,9.4,senior_professional,42,12,9,32,25,0.099,116,9,18,1,0,0,0,0,1,1,0,14,fail
328,6.8,senior_professional,83,43,35,75,59,0.2,124,56,36,0,0,0,0,0,1,1,0,54,fail
329,8.9,senior_professional,64,40,62,86,65,0.132,86,58,59,1,0,0,0,0,1,1,0,46,fail
330,0.3,fresher,83,100,100,78,100,0.112,51,93,93,0,0,0,0,0,1,1,0,77,pass
331,3.2,mid_level_expert,32,49,21,28,42,0.102,121,28,49,0,0,0,0,0,1,1,0,32,fail
332,4.4,mid_level_expert,100,92,95,93,98,0.127,99,86,95,0,0,0,0,0,0,1,0,78,fail
333,9.8,senior_professional,45,59,23,78,66,0.141,125,34,23,0,0,0,0,0,1,1,0,31,fail
334,2.7,junior_professional,74,66,62,57,81,0.2,90,70,69,0,0,0,1,0,1,1,0,51,fail
335,1.2,junior_professional,84,62,70,67,41,0.092,55,77,40,0,0,1,0,0,1,1,0,58,fail
336,3.5,mid_level_expert,39,52,69,65,63,0.124,43,55,67,0,0,0,1,0,1,1,0,35,fail
337,8.5,senior_professional,46,33,61,47,82,0.169,37,60,47,0,0,0,0,0,1,1,0,26,fail
338,2.4,junior_professional,93,69,81,74,71,0.089,103,77,80,0,0,0,0,0,1,1,0,73,pass
339,3.1,mid_level_expert,31,84,57,62,49,0.154,119,43,56,0,1,0,0,0,0,1,0,53,fail
340,11.9,industry_veteran,93,83,39,62,69,0.033,109,59,64,0,0,0,0,0,1,1,0,75,pass
341,7.6,senior_professional,19,24,31,47,24,0.134,105,32,61,0,0,0,0,0,1,1,0,26,fail
342,0.2,fresher,43,59,58,53,59,0.12,130,37,66,0,0,0,0,0,1,1,0,43,fail
343,7.2,senior_professional,60,54,43,38,65,0.06,26,32,57,0,0,0,0,0,1,1,0,54,fail
344,2.0,junior_professional,59,20,52,53,54,0.129,112,50,32,0,0,0,0,0,1,1,0,50,fail
345,10.1,industry_veteran,68,87,99,74,65,0.026,65,68,89,0,0,0,0,0,1,1,0,73,pass
346,3.2,mid_level_expert,67,48,37,53,47,0.16,91,54,71,0,0,0,0,0,1,1,0,61,fail
347,3.8,mid_level_expert,97,80,100,92,76,0.051,59,100,80,0,0,0,0,1,1,1,0,81,fail
348,0.3,fresher,94,100,54,100,84,0.101,29,87,100,0,0,0,0,0,1,1,0,85,pass
349,4.9,mid_level_expert,94,100,100,68,100,0.056,101,100,100,0,0,0,0,0,1,1,0,81,pass
350,2.8,junior_professional,100,66,99,86,100,0.09,114,74,56,0,0,0,0,0,1,1,0,67,fail
351,9.6,senior_professional,100,72,74,76,54,0.237,120,62,65,0,0,0,0,1,1,1,0,57,fail
352,12.1,industry_veteran,76,82,77,72,51,0.09,125,64,100,0,0,0,0,0,1,1,0,75,pass
353,14.2,industry_veteran,27,34,58,57,48,0.159,100,38,43,0,0,0,0,0,1,1,0,30,fail
354,2.3,junior_professional,85,100,72,100,87,0.046,60,74,83,0,0,0,0,0,1,1,0,77,pass
355,2.3,junior_professional,65,65,69,76,84,0.09,68,71,78,0,0,0,1,0,1,1,0,67,fail
356,9.2,senior_professional,54,45,41,59,70,0.127,82,51,44,0,0,0,0,0,1,1,0,39,fail
357,2.4,junior_professional,58,49,64,73,53,0.071,125,57,54,0,0,0,0,0,1,1,0,45,fail
358,6.1,senior_professional,48,33,48,45,38,0.116,48,55,41,0,0,0,0,0,1,1,0,46,fail
359,2.1,junior_professional,36,70,44,39,42,0.18,29,50,67,0,0,0,0,0,1,1,1,40,fail
360,10.4,industry_veteran,85,43,71,74,72,0.132,84,48,53,0,0,0,0,0,1,1,0,66,fail
361,10.8,industry_veteran,100,77,67,98,100,0.233,66,99,75,0,0,0,0,0,1,1,0,80,pass
362,1.3,junior_professional,33,70,32,40,54,0.142,32,44,45,0,1,0,0,0,1,1,0,45,fail
363,11.3,industry_veteran,46,82,74,72,68,0.155,91,47,67,0,0,0,0,0,1,1,0,60,fail
364,0.8,fresher,65,50,79,87,81,0.223,39,56,56,0,0,0,0,0,1,1,0,45,fail
365,0.7,fresher,98,68,87,100,91,0.049,28,98,74,0,0,0,0,0,1,1,0,85,pass
366,6.9,senior_professional,89,83,93,63,74,0.122,129,100,98,0,0,0,0,0,1,1,0,77,pass
367,0.9,fresher,64,56,29,65,39,0.22,93,59,27,0,0,0,0,0,1,1,0,39,fail
368,1.9,junior_professional,82,89,93,100,100,0.029,43,99,68,1,0,0,0,0,1,1,0,100,fail
369,0.9,fresher,100,100,94,89,92,0.186,83,100,92,0,0,0,1,0,1,1,0,81,fail
370,0.0,fresher,33,58,60,51,39,0.183,54,25,64,0,0,0,0,0,1,1,0,33,fail
371,7.3,senior_professional,91,87,100,81,82,0.093,27,81,94,0,0,0,0,0,1,1,0,83,pass
372,3.3,mid_level_expert,79,100,85,100,100,0.083,25,81,96,0,0,0,0,0,1,1,0,96,pass
373,4.7,mid_level_expert,46,53,53,51,59,0.151,29,51,56,0,0,0,0,0,1,1,0,39,fail
374,14.5,industry_veteran,70,81,82,92,98,0.08,59,68,76,0,0,0,0,0,1,1,0,64,fail
375,12.8,industry_veteran,100,100,83,97,92,0.033,92,80,97,0,0,0,0,0,1,1,0,91,pass
376,1.8,junior_professional,56,57,58,74,42,0.133,26,43,61,1,0,0,0,0,1,1,0,56,fail
377,0.3,fresher,78,95,69,55,74,0.173,51,69,77,0,0,0,0,0,1,1,0,63,fail
378,0.2,fresher,64,77,45,83,73,0.09,35,89,51,0,0,0,0,0,1,1,0,72,pass
379,0.3,fresher,64,68,60,38,57,0.134,65,60,40,0,0,0,0,0,1,1,0,31,fail
380,3.3,mid_level_expert,78,77,100,78,79,0.126,57,82,74,0,0,0,0,0,1,1,0,58,fail
381,1.6,junior_professional,69,53,71,23,21,0.112,61,49,60,0,0,0,1,0,1,1,0,53,fail
382,5.6,mid_level_expert,72,67,60,63,51,0.101,42,58,44,1,0,0,0,1,1,1,0,60,fail
383,1.5,junior_professional,53,50,66,67,57,0.188,114,58,65,0,0,0,0,0,1,1,0,48,fail
384,3.4,mid_level_expert,50,64,61,57,73,0.09,94,73,77,0,0,0,0,0,1,1,0,56,fail
385,4.9,mid_level_expert,58,62,60,61,56,0.131,83,71,46,0,0,0,1,0,1,1,0,59,fail
386,2.0,junior_professional,86,87,100,83,100,0.029,107,91,100,0,0,0,1,0,1,1,0,94,fail
387,2.6,junior_professional,53,80,54,95,69,0.068,50,94,59,1,0,0,0,0,1,1,0,71,fail
388,0.9,fresher,62,73,89,73,89,0.138,26,84,61,0,0,0,0,0,1,1,0,55,fail
389,2.4,junior_professional,69,60,52,48,62,0.202,42,48,75,0,0,0,0,0,1,1,0,62,fail
390,14.6,industry_veteran,67,58,59,62,66,0.141,38,68,80,0,0,0,0,0,1,1,0,47,fail
391,8.5,senior_professional,77,100,61,95,78,0.168,68,72,88,0,0,0,0,0,1,1,0,74,pass
392,0.0,fresher,63,50,66,54,63,0.209,113,66,34,0,0,0,0,0,1,1,0,38,fail
393,3.0,mid_level_expert,95,100,100,91,65,0.108,124,100,81,0,0,0,0,0,1,1,0,88,pass
394,4.7,mid_level_expert,52,77,92,70,81,0.105,111,99,97,0,0,0,0,0,1,1,0,71,pass
395,14.5,industry_veteran,56,63,90,100,67,0.102,47,83,91,1,0,0,0,0,1,1,0,63,fail
396,2.0,junior_professional,73,100,83,90,86,0.074,93,72,83,0,0,0,0,0,1,1,0,74,pass
397,6.5,senior_professional,73,56,52,77,61,0.188,37,64,41,0,0,0,0,0,1,1,0,56,fail
398,0.9,fresher,93,88,62,89,75,0.173,105,71,90,0,1,0,0,0,1,1,0,84,fail
399,7.0,senior_professional,63,54,51,46,51,0.099,73,65,80,0,0,0,0,0,1,1,0,39,fail
400,3.9,mid_level_expert,59,79,96,86,84,0.074,76,57,55,0,0,0,0,0,1,1,0,61,fail
401,5.6,mid_level_expert,99,100,91,86,73,0.017,115,85,89,0,0,0,0,0,1,1,0,95,pass
402,13.7,industry_veteran,83,100,89,96,80,0.083,129,85,98,0,0,0,0,0,1,1,0,75,pass
403,0.7,fresher,77,81,95,92,75,0.064,89,69,72,0,0,0,0,0,1,1,0,78,pass
404,8.3,senior_professional,99,100,79,81,79,0.088,96,61,68,0,0,0,0,0,1,1,0,83,pass
405,4.0,mid_level_expert,63,46,50,56,52,0.083,95,65,38,0,0,0,0,0,1,1,1,46,fail
406,3.2,mid_level_expert,60,54,58,79,87,0.095,70,87,100,1,0,0,0,0,1,1,0,63,fail
407,5.2,mid_level_expert,84,85,100,93,92,0.123,65,74,93,0,0,0,0,0,1,1,0,87,pass
408,6.0,senior_professional,93,82,82,86,85,0.128,119,99,99,0,0,0,0,0,1,1,0,94,pass
409,4.4,mid_level_expert,51,82,88,83,76,0.135,120,67,83,0,0,0,0,0,1,1,0,68,fail
410,6.2,senior_professional,57,71,87,52,66,0.183,120,71,68,0,0,0,0,0,1,1,0,46,fail
411,4.7,mid_level_expert,56,79,46,82,76,0.165,71,79,63,0,0,0,0,0,1,1,0,48,fail
412,11.3,industry_veteran,62,68,55,73,53,0.077,112,71,92,0,0,0,0,0,1,1,0,60,fail
413,4.0,mid_level_expert,10,22,43,31,42,0.089,38,37,32,0,0,0,0,0,1,1,0,26,fail
414,8.2,senior_professional,100,78,84,68,80,0.048,61,94,83,0,0,0,0,0,1,1,0,91,pass
415,13.4,industry_veteran,100,89,100,100,100,0.128,120,100,100,0,0,0,0,0,1,1,1,80,fail
416,0.2,fresher,79,74,97,77,72,0.196,121,94,85,0,0,0,0,0,1,1,0,64,fail
417,2.3,junior_professional,63,85,52,89,54,0.092,29,78,44,0,1,0,0,1,1,1,0,51,fail
418,3.9,mid_level_expert,74,33,35,56,39,0.101,119,55,37,0,0,0,0,0,1,1,0,44,fail
419,0.2,fresher,37,59,67,64,63,0.129,45,31,48,0,0,0,0,0,1,1,0,53,fail
420,7.6,senior_professional,53,31,47,56,33,0.162,36,73,39,0,0,0,1,0,1,1,0,31,fail
421,1.3,junior_professional,100,93,90,100,84,0.06,58,100,90,0,0,0,0,0,1,1,0,88,pass
422,13.2,industry_veteran,63,75,83,53,92,0.01,108,88,52,0,0,0,0,0,1,1,0,73,pass
423,5.8,mid_level_expert,75,72,44,89,54,0.22,68,67,68,0,0,0,0,0,1,1,0,57,fail
424,1.9,junior_professional,54,47,32,23,49,0.147,94,31,53,1,0,0,0,0,1,1,0,37,fail
425,4.3,mid_level_expert,42,70,64,46,84,0.102,31,54,38,0,0,0,0,0,1,1,0,38,fail
426,7.7,senior_professional,85,80,76,75,82,0.099,82,63,72,0,0,0,0,0,1,1,0,70,pass
427,11.1,industry_veteran,55,9,40,54,48,0.105,112,44,57,0,0,0,0,0,1,1,0,27,fail
428,6.9,senior_professional,82,79,57,68,77,0.164,104,66,73,0,0,0,0,0,1,1,0,62,fail
429,0.0,fresher,72,53,71,67,61,0.142,130,50,67,0,0,0,0,0,1,1,0,50,fail
430,9.0,senior_professional,20,21,39,49,66,0.13,83,42,20,0,0,0,0,0,1,1,0,33,fail
431,4.1,mid_level_expert,78,100,90,98,100,0.085,104,65,100,0,0,0,1,0,1,1,0,75,fail
432,9.8,senior_professional,81,100,100,61,72,0.089,71,93,82,0,0,0,0,0,1,1,0,68,fail
433,0.6,fresher,79,72,66,77,77,0.141,94,80,78,0,0,0,0,0,1,1,0,60,fail
434,4.7,mid_level_expert,96,70,83,85,65,0.109,73,72,69,0,0,0,0,0,1,1,0,72,pass
435,14.9,industry_veteran,48,60,63,84,59,0.093,116,59,64,1,0,0,0,0,1,1,0,41,fail
436,1.7,junior_professional,44,62,65,28,57,0.16,108,22,54,0,0,0,0,0,1,1,0,28,fail
437,6.5,senior_professional,100,100,94,100,100,0.048,96,82,80,0,0,0,0,0,1,1,0,90,pass
438,4.6,mid_level_expert,77,69,72,73,70,0.01,122,67,65,0,0,0,0,0,1,1,0,67,fail
439,2.5,junior_professional,34,71,54,63,57,0.072,56,59,79,1,0,0,0,0,1,1,0,38,fail
440,1.1,junior_professional,72,64,76,82,56,0.094,107,78,57,0,0,1,0,0,1,1,0,54,fail
441,0.5,fresher,51,49,33,36,59,0.113,110,43,63,0,0,0,0,0,1,1,0,50,fail
442,0.6,fresher,46,79,62,67,47,0.124,48,68,70,0,0,0,0,0,1,1,0,39,fail
443,9.0,senior_professional,77,79,99,90,87,0.092,54,86,100,0,0,0,0,0,1,1,0,79,pass
444,13.3,industry_veteran,73,81,68,89,67,0.137,119,90,71,0,0,0,0,0,1,1,1,81,fail
445,2.2,junior_professional,74,91,84,60,75,0.099,121,80,82,1,0,0,0,0,1,1,0,73,fail
446,1.5,junior_professional,69,70,51,69,50,0.107,97,63,60,0,0,0,0,0,1,1,0,50,fail
447,1.2,junior_professional,81,73,72,64,74,0.109,41,91,94,0,0,0,0,0,1,1,0,69,fail
448,14.1,industry_veteran,83,67,71,69,87,0.177,80,85,75,0,0,0,0,0,1,1,0,69,fail
449,0.2,fresher,62,61,40,50,57,0.107,89,57,66,0,0,0,0,0,1,1,0,51,fail
450,12.5,industry_veteran,75,76,74,60,45,0.031,128,63,67,0,0,0,0,0,1,1,0,65,fail
451,8.6,senior_professional,67,61,58,67,40,0.116,27,46,61,0,0,0,0,0,1,1,0,50,fail
452,12.9,industry_veteran,78,54,77,33,44,0.037,95,57,54,0,0,0,0,0,1,1,0,57,fail
453,5.6,mid_level_expert,100,78,84,70,78,0.144,82,75,91,0,0,0,0,0,1,1,1,79,fail
454,8.7,senior_professional,30,8,5,33,41,0.065,85,45,17,0,0,0,0,0,1,1,0,26,fail
455,5.0,mid_level_expert,50,41,54,58,79,0.21,94,72,51,0,0,0,0,0,1,1,0,44,fail
456,3.6,mid_level_expert,100,100,91,100,89,0.138,38,100,95,0,0,0,0,0,1,1,0,98,pass
457,1.2,junior_professional,67,58,58,27,50,0.103,31,70,73,0,0,0,1,0,1,1,0,55,fail
458,3.7,mid_level_expert,48,60,82,62,42,0.07,70,50,70,0,0,0,1,0,1,1,0,49,fail
459,5.5,mid_level_expert,58,65,57,44,56,0.135,117,54,53,0,0,1,0,0,1,1,0,50,fail
460,3.5,mid_level_expert,57,100,72,79,67,0.053,90,80,52,0,0,0,0,0,1,1,0,67,fail
461,1.3,junior_professional,100,100,75,96,78,0.136,109,92,94,0,0,0,0,0,1,1,0,73,fail
462,9.2,senior_professional,57,74,60,65,78,0.063,116,64,100,0,0,0,0,0,1,1,0,61,fail
463,11.1,industry_veteran,76,52,79,79,68,0.162,43,75,78,0,0,1,0,0,1,1,0,79,fail
464,13.0,industry_veteran,59,57,75,51,82,0.075,61,75,79,0,0,0,0,0,1,1,0,61,fail
465,2.5,junior_professional,64,60,39,63,82,0.218,73,60,59,0,0,0,0,0,1,1,0,43,fail
466,11.1,industry_veteran,65,46,68,65,47,0.047,105,49,66,1,0,0,0,0,1,1,0,51,fail
467,13.5,industry_veteran,72,59,65,42,52,0.075,55,71,53,0,0,0,0,0,1,1,0,64,fail
468,4.5,mid_level_expert,72,50,66,55,63,0.177,70,67,53,0,0,1,0,0,0,1,0,59,fail
469,3.9,mid_level_expert,60,62,36,76,55,0.177,110,45,58,0,0,0,0,0,1,1,0,50,fail
470,2.0,junior_professional,38,63,53,62,43,0.199,67,66,56,0,0,0,0,0,1,1,0,31,fail
471,4.5,mid_level_expert,63,79,100,100,71,0.126,124,83,85,0,0,0,0,0,1,1,0,77,pass
472,14.4,industry_veteran,38,54,25,66,49,0.122,82,39,58,0,0,0,0,0,1,1,0,47,fail
473,10.3,industry_veteran,58,100,83,89,57,0.08,93,92,54,0,0,0,0,0,1,1,0,78,pass
474,4.3,mid_level_expert,72,49,81,72,60,0.132,77,47,71,0,0,0,0,0,1,1,0,58,fail
475,2.0,junior_professional,71,88,100,100,91,0.102,37,100,100,0,1,0,0,0,1,1,0,73,fail
476,14.9,industry_veteran,84,100,91,94,96,0.065,49,96,100,0,0,0,0,0,1,1,0,92,pass
477,9.8,senior_professional,81,53,79,46,63,0.01,115,81,75,0,1,0,0,0,1,1,0,59,fail
478,3.3,mid_level_expert,27,47,72,60,66,0.191,110,64,64,1,0,0,0,0,1,1,0,38,fail
479,1.5,junior_professional,95,50,98,70,68,0.046,71,74,98,0,0,0,0,0,1,1,0,71,pass
480,0.6,fresher,68,85,92,100,100,0.029,85,89,87,0,0,0,0,0,1,1,0,92,pass
481,0.5,fresher,87,81,90,80,54,0.118,112,91,100,1,0,0,1,0,1,1,0,76,fail
482,13.3,industry_veteran,75,77,77,77,75,0.095,102,93,81,0,0,0,0,0,1,1,0,76,pass
483,7.5,senior_professional,71,74,51,59,51,0.076,117,71,72,1,0,0,0,0,1,1,0,63,fail
484,8.9,senior_professional,79,57,64,72,43,0.11,43,62,78,0,0,0,0,0,1,1,0,66,pass
485,4.9,mid_level_expert,78,68,76,74,66,0.082,79,74,78,0,0,0,0,0,1,1,1,66,fail
486,0.1,fresher,66,70,47,63,38,0.168,96,61,65,0,1,0,0,0,1,1,0,53,fail
487,5.3,mid_level_expert,82,76,65,64,71,0.065,64,66,73,0,0,0,0,1,1,1,0,71,fail
488,11.2,industry_veteran,57,62,62,57,55,0.091,88,62,90,0,0,0,0,0,1,1,0,56,fail
489,10.5,industry_veteran,55,72,62,73,74,0.161,54,66,47,0,0,0,0,0,1,1,0,59,fail
490,0.8,fresher,58,48,61,67,70,0.053,42,70,74,0,0,0,0,0,1,1,0,54,fail
491,1.6,junior_professional,73,48,77,84,75,0.154,98,68,53,0,0,0,0,0,1,1,0,48,fail
492,5.1,mid_level_expert,59,60,70,68,73,0.147,43,80,60,0,0,0,0,0,1,1,0,53,fail
493,1.6,junior_professional,43,49,53,51,46,0.099,75,23,25,1,0,0,0,0,1,1,0,40,fail
494,6.5,senior_professional,38,60,60,36,42,0.097,29,68,66,0,0,0,0,0,1,1,0,38,fail
495,8.4,senior_professional,0,45,26,51,23,0.222,34,29,38,0,0,0,1,0,0,1,0,18,fail
496,2.7,junior_professional,86,87,72,85,87,0.143,128,100,80,1,0,0,0,0,1,1,0,75,fail
497,1.2,junior_professional,75,67,67,73,69,0.221,55,71,88,0,0,0,0,0,1,1,0,64,fail
498,0.0,fresher,63,74,42,82,55,0.067,91,83,97,0,0,0,0,0,1,1,0,63,fail
499,2.4,junior_professional,73,65,86,99,98,0.096,99,90,65,0,0,0,1,0,1,1,0,60,fail
500,0.5,fresher,36,43,71,66,60,0.071,105,46,51,0,1,0,0,0,1,1,0,53,fail
501,0.7,fresher,100,100,100,94,72,0.071,36,83,86,0,0,0,0,0,1,1,0,83,pass
502,5.8,mid_level_expert,93,81,100,79,100,0.115,96,89,99,0,0,0,0,0,1,1,0,84,pass
503,0.5,fresher,63,75,81,83,66,0.077,121,95,44,1,0,0,0,0,1,1,0,59,fail
504,14.3,industry_veteran,75,86,53,100,75,0.088,112,77,53,0,0,0,0,0,1,1,0,75,pass
505,4.1,mid_level_expert,91,90,88,75,71,0.142,58,100,100,0,0,0,0,0,1,1,0,74,fail
506,3.3,mid_level_expert,93,100,78,100,88,0.034,25,85,95,0,0,0,0,0,1,1,0,74,pass
507,2.8,junior_professional,77,83,93,87,100,0.113,84,93,87,0,0,0,0,0,1,1,0,86,pass
508,0.1,fresher,37,62,42,79,59,0.145,90,100,61,1,0,0,1,0,1,1,0,45,fail
509,2.1,junior_professional,90,81,79,74,100,0.028,107,92,100,1,0,0,1,0,1,1,0,93,fail
510,6.1,senior_professional,72,66,53,49,66,0.138,51,40,53,0,0,0,0,0,1,1,0,47,fail
511,14.7,industry_veteran,50,56,33,55,17,0.158,39,34,40,0,0,0,0,0,1,0,0,42,fail
512,9.3,senior_professional,85,91,81,91,88,0.12,82,77,79,0,0,0,0,0,1,1,0,89,pass
513,4.0,mid_level_expert,86,55,54,66,71,0.205,99,70,87,0,1,0,0,0,1,1,0,60,fail
514,6.9,senior_professional,45,55,63,58,43,0.15,111,41,33,0,1,0,0,0,1,1,0,45,fail
515,2.6,junior_professional,35,40,46,12,30,0.099,130,30,24,0,0,0,0,0,1,1,0,38,fail
516,2.1,junior_professional,78,58,87,86,100,0.08,124,92,82,0,0,0,0,0,1,1,0,71,pass
517,7.4,senior_professional,87,65,36,56,56,0.17,117,43,31,0,0,0,0,0,1,1,0,46,fail
