id,trait,experience_band,question,answer_text,empathy_score,structure_score,positivity_score,ownership_score,target_score,target_label
614,Stress handling,fresher,How do you stay productive during deadlines?,"In my last project, I clarified the task, listened to concerns, took ownership of my part, used breaks, prioritize, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,100,97,100,98,pass
615,Communication,junior_professional,How do you explain complex work to non-technical people?,"During a sprint review, I clarified the situation, listened to concerns, took ownership of my part, used clarify, audience, updates, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",97,63,65,100,68,fail
616,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"In my last project, I used a simple STAR structure. I focused on accuracy, documentation, quality, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",80,70,60,79,77,pass
617,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"In my last project, I tried to help but my answer was not very structured. I mentioned feedback, team, listen and learned that I should communicate earlier. I shared the learning with others.",81,46,74,58,59,fail
618,Attention to detail,senior_professional,How do you review your work before delivery?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned documentation, accuracy, review, checklist and learned that I should communicate earlier. I kept the discussion respectful.",49,45,39,42,42,fail
619,Attention to detail,fresher,How do you review your work before delivery?,"In my last project, I used a simple STAR structure. I focused on documentation, quality, accuracy, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",58,77,65,67,65,fail
620,Openness to learning,fresher,How do you respond when feedback shows you were wrong?,"During a sprint review, I used a simple STAR structure. I focused on feedback, practice, mentor, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",75,54,89,73,66,fail
621,Collaboration,fresher,How do you support teammates during pressure?,"During a team task, I clarified the task, listened to concerns, took ownership of my part, used feedback, align, listen, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",85,82,90,86,87,pass
622,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I used a simple STAR structure. I focused on support, align, team, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",73,66,53,41,75,fail
623,Stress handling,fresher,How do you stay productive during deadlines?,"During a team task, I used a simple STAR structure. I focused on escalate, focus, prioritize, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",61,58,39,68,55,fail
624,Openness to learning,fresher,Describe a time you learned a new tool quickly.,"During a sprint review, I clarified the action, listened to concerns, took ownership of my part, used experiment, practice, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",70,95,82,100,78,pass
625,Communication,mid_level_expert,Describe a time clear communication helped a project.,"In a university project, I clarified the action, listened to concerns, took ownership of my part, used simple language, questions, clarify, summarize, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",76,71,99,76,74,pass
626,Stress handling,junior_professional,How do you stay productive during deadlines?,"During a team task, I clarified the result, listened to concerns, took ownership of my part, used prioritize, breaks, plan, focus, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",100,81,100,100,97,pass
627,Stress handling,industry_veteran,How do you stay productive during deadlines?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned focus, calm, plan and learned that I should communicate earlier. I shared the learning with others.",59,61,74,66,71,pass
628,Collaboration,junior_professional,How do you support teammates during pressure?,"During a sprint review, I used a simple STAR structure. I focused on shared goal, align, feedback, listen, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",85,63,85,61,68,pass
629,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned breaks, calm, focus, escalate, plan and learned that I should communicate earlier. The experience improved my confidence.",0,33,19,42,27,fail
630,Communication,junior_professional,Describe a time clear communication helped a project.,"In a university project, I used a simple STAR structure. I focused on questions, audience, clarify, simple language, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",77,49,76,89,77,pass
631,Attention to detail,fresher,How do you review your work before delivery?,"During a team task, I clarified the action, listened to concerns, took ownership of my part, used quality, documentation, accuracy, checklist, edge cases, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",92,84,75,92,70,pass
632,Openness to learning,mid_level_expert,How do you respond when feedback shows you were wrong?,"During a sprint review, I clarified the action, listened to concerns, took ownership of my part, used mentor, experiment, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",90,74,85,100,91,pass
633,Stress handling,fresher,How do you stay productive during deadlines?,"In my last project, I used a simple STAR structure. I focused on prioritize, escalate, breaks, focus, plan, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",64,65,36,58,47,fail
634,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"During a sprint review, I used a simple STAR structure. I focused on reflection, mentor, experiment, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",49,65,46,50,38,fail
635,Openness to learning,fresher,Describe a time you learned a new tool quickly.,"During a team task, I tried to help but my answer was not very structured. I mentioned practice, course, feedback and learned that I should communicate earlier. The experience improved my confidence.",40,31,45,32,34,fail
636,Communication,mid_level_expert,How do you explain complex work to non-technical people?,"In a university project, I clarified the result, listened to concerns, took ownership of my part, used audience, simple language, updates, questions, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",89,100,98,67,77,fail
637,Communication,industry_veteran,Describe a time clear communication helped a project.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned clarify, audience, updates and learned that I should communicate earlier. I shared the learning with others.",46,34,3,62,48,fail
638,Attention to detail,mid_level_expert,Describe a time attention to detail prevented a problem.,"During a team task, I tried to help but my answer was not very structured. I mentioned checklist, review, accuracy, documentation and learned that I should communicate earlier. I shared the learning with others.",61,47,60,45,55,fail
639,Stress handling,senior_professional,How do you stay productive during deadlines?,"During a sprint review, I used a simple STAR structure. I focused on escalate, plan, calm, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",57,87,47,85,73,pass
640,Communication,industry_veteran,How do you explain complex work to non-technical people?,"In my last project, I tried to help but my answer was not very structured. I mentioned updates, summarize, audience, clarify and learned that I should communicate earlier. This helped me become more reliable.",48,56,65,72,66,fail
641,Stress handling,junior_professional,How do you stay productive during deadlines?,"In a university project, I used a simple STAR structure. I focused on prioritize, breaks, calm, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",51,64,88,80,76,pass
642,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"In a university project, I used a simple STAR structure. I focused on prioritize, plan, calm, escalate, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",71,69,76,54,58,fail
643,Openness to learning,fresher,Describe a time you learned a new tool quickly.,"In a university project, I tried to help but my answer was not very structured. I mentioned mentor, experiment, reflection, course and learned that I should communicate earlier. The experience improved my confidence.",53,43,38,43,61,fail
644,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used review, documentation, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",91,94,72,65,69,pass
645,Attention to detail,junior_professional,How do you review your work before delivery?,"During a sprint review, I used a simple STAR structure. I focused on quality, documentation, review, accuracy, edge cases, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",93,79,83,84,77,pass
646,Collaboration,senior_professional,How do you support teammates during pressure?,"In my last project, I tried to help but my answer was not very structured. I mentioned support, align, shared goal, team, listen and learned that I should communicate earlier. I shared the learning with others.",57,31,58,44,35,fail
647,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"While handling a delivery, I used a simple STAR structure. I focused on focus, breaks, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",54,42,80,64,42,fail
648,Collaboration,fresher,Tell me about a time you worked with a difficult team situation.,"During a team task, I used a simple STAR structure. I focused on team, shared goal, listen, support, feedback, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",74,63,49,91,67,fail
649,Communication,junior_professional,Describe a time clear communication helped a project.,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used updates, questions, summarize, simple language, clarify, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",94,93,77,81,94,pass
650,Attention to detail,senior_professional,How do you review your work before delivery?,"During a team task, I clarified the result, listened to concerns, took ownership of my part, used quality, edge cases, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",84,91,62,73,85,pass
651,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"In a university project, I used a simple STAR structure. I focused on prioritize, calm, breaks, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",68,84,82,60,77,pass
652,Collaboration,mid_level_expert,How do you support teammates during pressure?,"In my last project, I used a simple STAR structure. I focused on feedback, listen, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",62,91,82,68,77,pass
653,Collaboration,fresher,How do you support teammates during pressure?,"While handling a delivery, I clarified the task, listened to concerns, took ownership of my part, used feedback, shared goal, align, team, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",100,97,100,61,87,pass
654,Communication,fresher,Describe a time clear communication helped a project.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned clarify, simple language, updates, audience, summarize and learned that I should communicate earlier. This helped me become more reliable.",29,57,58,37,54,fail
655,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"During a team task, I clarified the result, listened to concerns, took ownership of my part, used prioritize, focus, breaks, escalate, calm, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",100,96,100,95,95,pass
656,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned checklist, documentation, quality, accuracy and learned that I should communicate earlier. The experience improved my confidence.",59,43,49,66,58,fail
657,Attention to detail,mid_level_expert,Describe a time attention to detail prevented a problem.,"While handling a delivery, I clarified the task, listened to concerns, took ownership of my part, used documentation, accuracy, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",72,99,85,100,94,pass
659,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"In my last project, I tried to help but my answer was not very structured. I mentioned calm, breaks, plan and learned that I should communicate earlier. This helped me become more reliable.",79,45,78,46,52,fail
660,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"During a team task, I used a simple STAR structure. I focused on align, listen, support, feedback, team, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",75,80,84,59,77,pass
661,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"During a sprint review, I used a simple STAR structure. I focused on reflection, practice, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",62,53,58,61,61,fail
662,Communication,senior_professional,How do you explain complex work to non-technical people?,"In my last project, I used a simple STAR structure. I focused on audience, updates, summarize, clarify, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",84,52,74,54,72,pass
663,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"In a university project, I used a simple STAR structure. I focused on review, documentation, checklist, quality, edge cases, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",50,45,69,50,53,fail
664,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"During a team task, I used a simple STAR structure. I focused on support, team, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",29,69,69,58,44,fail
665,Communication,industry_veteran,Describe a time clear communication helped a project.,"During a team task, I tried to help but my answer was not very structured. I mentioned questions, clarify, updates, simple language, summarize and learned that I should communicate earlier. This helped me become more reliable.",55,31,33,69,46,fail
666,Openness to learning,junior_professional,Describe a time you learned a new tool quickly.,"While handling a delivery, I used a simple STAR structure. I focused on mentor, course, feedback, reflection, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",66,63,62,60,64,fail
667,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"During a sprint review, I used a simple STAR structure. I focused on experiment, reflection, practice, mentor, feedback, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",78,74,96,57,85,pass
668,Stress handling,fresher,How do you stay productive during deadlines?,"During a team task, I used a simple STAR structure. I focused on breaks, calm, escalate, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",88,86,93,76,66,fail
669,Communication,industry_veteran,How do you explain complex work to non-technical people?,"During a team task, I clarified the result, listened to concerns, took ownership of my part, used updates, simple language, summarize, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",77,66,68,62,67,fail
670,Communication,mid_level_expert,How do you explain complex work to non-technical people?,"In a university project, I clarified the task, listened to concerns, took ownership of my part, used questions, clarify, updates, audience, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",72,52,90,100,83,pass
671,Communication,industry_veteran,Describe a time clear communication helped a project.,"In a university project, I used a simple STAR structure. I focused on updates, summarize, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",54,56,51,58,58,fail
672,Attention to detail,senior_professional,How do you review your work before delivery?,"During a sprint review, I used a simple STAR structure. I focused on edge cases, review, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",48,79,38,68,61,fail
673,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"In a university project, I used a simple STAR structure. I focused on plan, breaks, focus, calm, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",82,61,52,54,65,fail
674,Collaboration,fresher,How do you support teammates during pressure?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned listen, shared goal and learned that I should communicate earlier. I kept the discussion respectful.",21,27,11,24,19,fail
675,Communication,industry_veteran,Describe a time clear communication helped a project.,"During a sprint review, I used a simple STAR structure. I focused on updates, audience, summarize, simple language, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",75,47,69,78,69,pass
676,Communication,senior_professional,Describe a time clear communication helped a project.,"During a sprint review, I used a simple STAR structure. I focused on updates, audience, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",55,58,55,55,59,fail
677,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"During a sprint review, I clarified the task, listened to concerns, took ownership of my part, used feedback, practice, mentor, reflection, experiment, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",100,89,94,97,89,pass
678,Attention to detail,industry_veteran,How do you review your work before delivery?,"During a team task, I used a simple STAR structure. I focused on edge cases, accuracy, checklist, review, documentation, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",73,30,51,69,57,fail
679,Openness to learning,senior_professional,Describe a time you learned a new tool quickly.,"In a university project, I tried to help but my answer was not very structured. I mentioned feedback, course and learned that I should communicate earlier. I kept the discussion respectful.",39,55,63,53,48,fail
680,Communication,industry_veteran,How do you explain complex work to non-technical people?,"During a team task, I tried to help but my answer was not very structured. I mentioned simple language, updates, audience, summarize, clarify and learned that I should communicate earlier. This helped me become more reliable.",48,37,52,61,32,fail
681,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"In a university project, I used a simple STAR structure. I focused on calm, plan, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",76,53,100,68,77,pass
682,Attention to detail,junior_professional,Describe a time attention to detail prevented a problem.,"During a sprint review, I clarified the situation, listened to concerns, took ownership of my part, used accuracy, edge cases, checklist, documentation, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",81,71,68,100,86,pass
683,Stress handling,junior_professional,How do you stay productive during deadlines?,"In my last project, I used a simple STAR structure. I focused on escalate, plan, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",95,70,74,66,71,pass
684,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"In a university project, I used a simple STAR structure. I focused on breaks, plan, escalate, prioritize, calm, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",52,66,54,71,63,fail
685,Attention to detail,fresher,How do you review your work before delivery?,"In my last project, I used a simple STAR structure. I focused on quality, accuracy, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",66,83,62,72,83,pass
686,Stress handling,junior_professional,How do you stay productive during deadlines?,"In a university project, I used a simple STAR structure. I focused on focus, plan, breaks, calm, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",85,82,63,71,63,fail
687,Collaboration,senior_professional,Tell me about a time you worked with a difficult team situation.,"During a team task, I used a simple STAR structure. I focused on listen, feedback, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",64,61,58,71,56,fail
688,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"During a sprint review, I used a simple STAR structure. I focused on escalate, prioritize, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",77,67,55,54,70,pass
689,Openness to learning,fresher,Describe a time you learned a new tool quickly.,"In my last project, I clarified the task, listened to concerns, took ownership of my part, used practice, course, mentor, reflection, feedback, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",100,81,82,80,95,pass
690,Attention to detail,industry_veteran,How do you review your work before delivery?,"In my last project, I clarified the task, listened to concerns, took ownership of my part, used accuracy, documentation, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",84,88,100,91,100,pass
691,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"In a university project, I used a simple STAR structure. I focused on feedback, support, team, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",65,75,98,68,77,pass
692,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned support, feedback, shared goal, align, team and learned that I should communicate earlier. The experience improved my confidence.",44,29,35,42,42,fail
693,Communication,senior_professional,Describe a time clear communication helped a project.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned clarify, questions, summarize, updates and learned that I should communicate earlier. I shared the learning with others.",70,71,41,54,67,fail
694,Stress handling,fresher,Describe a high-pressure situation and your response.,"While handling a delivery, I used a simple STAR structure. I focused on prioritize, plan, breaks, escalate, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",78,67,62,67,70,pass
695,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"During a team task, I tried to help but my answer was not very structured. I mentioned shared goal, listen, support, align, feedback and learned that I should communicate earlier. I shared the learning with others.",40,54,73,49,55,fail
696,Collaboration,junior_professional,How do you support teammates during pressure?,"During a team task, I tried to help but my answer was not very structured. I mentioned listen, support, shared goal, align, team and learned that I should communicate earlier. The experience improved my confidence.",32,8,36,39,24,fail
697,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"During a sprint review, I used a simple STAR structure. I focused on plan, breaks, calm, escalate, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",56,61,82,97,83,pass
698,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"During a sprint review, I used a simple STAR structure. I focused on plan, calm, breaks, focus, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",54,81,62,64,60,fail
699,Openness to learning,fresher,How do you respond when feedback shows you were wrong?,"During a sprint review, I used a simple STAR structure. I focused on feedback, experiment, practice, course, reflection, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",78,81,68,68,73,pass
700,Attention to detail,industry_veteran,How do you review your work before delivery?,"In my last project, I used a simple STAR structure. I focused on review, edge cases, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",63,70,38,56,52,fail
701,Collaboration,fresher,Tell me about a time you worked with a difficult team situation.,"During a sprint review, I clarified the situation, listened to concerns, took ownership of my part, used listen, feedback, support, align, team, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",87,85,87,77,67,fail
702,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"In a university project, I used a simple STAR structure. I focused on align, support, shared goal, listen, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",43,69,64,61,70,pass
703,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"In a university project, I used a simple STAR structure. I focused on feedback, experiment, mentor, practice, course, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",56,85,90,42,68,fail
704,Attention to detail,junior_professional,Describe a time attention to detail prevented a problem.,"During a team task, I used a simple STAR structure. I focused on review, accuracy, edge cases, quality, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",66,36,51,81,74,pass
705,Communication,mid_level_expert,Describe a time clear communication helped a project.,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used audience, clarify, updates, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,94,90,100,100,pass
706,Stress handling,industry_veteran,How do you stay productive during deadlines?,"While handling a delivery, I used a simple STAR structure. I focused on calm, focus, breaks, escalate, prioritize, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",66,50,44,91,67,fail
707,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"During a team task, I clarified the task, listened to concerns, took ownership of my part, used listen, team, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",93,69,80,87,87,pass
708,Communication,industry_veteran,How do you explain complex work to non-technical people?,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used updates, summarize, simple language, audience, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",80,73,74,100,87,pass
709,Collaboration,junior_professional,How do you support teammates during pressure?,"In a university project, I used a simple STAR structure. I focused on support, team, shared goal, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",72,53,22,57,44,fail
710,Communication,fresher,How do you explain complex work to non-technical people?,"In a university project, I tried to help but my answer was not very structured. I mentioned questions, simple language and learned that I should communicate earlier. The experience improved my confidence.",51,86,56,82,70,fail
711,Collaboration,junior_professional,How do you support teammates during pressure?,"During a sprint review, I used a simple STAR structure. I focused on support, shared goal, feedback, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",67,79,100,99,79,pass
712,Openness to learning,industry_veteran,How do you respond when feedback shows you were wrong?,"While handling a delivery, I used a simple STAR structure. I focused on mentor, reflection, practice, course, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",69,48,77,85,73,pass
713,Attention to detail,junior_professional,Describe a time attention to detail prevented a problem.,"During a team task, I used a simple STAR structure. I focused on edge cases, quality, documentation, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",47,60,61,56,56,fail
714,Stress handling,industry_veteran,How do you stay productive during deadlines?,"During a sprint review, I used a simple STAR structure. I focused on focus, escalate, calm, plan, prioritize, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",72,86,85,61,70,pass
715,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"During a team task, I used a simple STAR structure. I focused on mentor, practice, reflection, course, feedback, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",74,86,80,69,79,pass
716,Collaboration,junior_professional,How do you support teammates during pressure?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned feedback, shared goal, listen, team and learned that I should communicate earlier. I shared the learning with others.",43,58,52,43,49,fail
717,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used calm, breaks, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",100,80,92,86,92,pass
718,Stress handling,industry_veteran,How do you stay productive during deadlines?,"During a team task, I used a simple STAR structure. I focused on prioritize, focus, breaks, calm, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",61,71,85,58,60,fail
719,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I used a simple STAR structure. I focused on prioritize, plan, focus, calm, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",60,63,85,58,65,fail
720,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"During a sprint review, I clarified the task, listened to concerns, took ownership of my part, used mentor, reflection, experiment, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",96,93,83,90,94,pass
721,Communication,junior_professional,How do you explain complex work to non-technical people?,"In my last project, I tried to help but my answer was not very structured. I mentioned updates, simple language, audience, clarify, summarize and learned that I should communicate earlier. The experience improved my confidence.",27,28,62,41,57,fail
722,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"While handling a delivery, I used a simple STAR structure. I focused on accuracy, edge cases, review, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",63,69,51,59,79,pass
723,Communication,senior_professional,How do you explain complex work to non-technical people?,"During a sprint review, I used a simple STAR structure. I focused on updates, questions, summarize, audience, simple language, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",52,81,41,45,55,fail
724,Communication,mid_level_expert,Describe a time clear communication helped a project.,"In a university project, I clarified the situation, listened to concerns, took ownership of my part, used clarify, summarize, audience, simple language, updates, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",97,100,100,93,95,pass
725,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"In a university project, I used a simple STAR structure. I focused on calm, prioritize, plan, breaks, focus, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",52,45,44,70,39,fail
726,Stress handling,senior_professional,How do you stay productive during deadlines?,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned breaks, prioritize, calm and learned that I should communicate earlier. This helped me become more reliable.",67,42,35,56,65,pass
727,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"While handling a delivery, I clarified the result, listened to concerns, took ownership of my part, used focus, escalate, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,100,100,71,90,pass
728,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned breaks, focus and learned that I should communicate earlier. I shared the learning with others.",15,41,21,38,37,fail
729,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"While handling a delivery, I used a simple STAR structure. I focused on breaks, prioritize, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",60,64,90,61,69,fail
730,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"During a team task, I tried to help but my answer was not very structured. I mentioned feedback, experiment, practice and learned that I should communicate earlier. This helped me become more reliable.",31,38,41,31,31,fail
732,Openness to learning,industry_veteran,How do you respond when feedback shows you were wrong?,"During a sprint review, I used a simple STAR structure. I focused on reflection, practice, feedback, experiment, mentor, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",77,83,55,93,73,pass
733,Openness to learning,senior_professional,Describe a time you learned a new tool quickly.,"During a sprint review, I used a simple STAR structure. I focused on experiment, practice, feedback, mentor, reflection, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",85,63,59,62,69,pass
734,Attention to detail,junior_professional,How do you review your work before delivery?,"In a university project, I used a simple STAR structure. I focused on documentation, edge cases, review, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",79,79,58,58,59,fail
735,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"During a sprint review, I used a simple STAR structure. I focused on experiment, course, mentor, practice, reflection, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",71,70,59,76,90,pass
736,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"During a team task, I used a simple STAR structure. I focused on course, mentor, feedback, experiment, reflection, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",64,65,78,63,70,pass
737,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"During a team task, I used a simple STAR structure. I focused on reflection, course, mentor, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",65,96,79,66,73,pass
738,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"During a sprint review, I used a simple STAR structure. I focused on course, practice, reflection, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",51,74,40,49,53,fail
739,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"During a team task, I used a simple STAR structure. I focused on listen, team, shared goal, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",64,60,43,59,57,fail
740,Openness to learning,junior_professional,Describe a time you learned a new tool quickly.,"While handling a delivery, I used a simple STAR structure. I focused on feedback, experiment, practice, course, mentor, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",61,77,82,68,71,fail
741,Openness to learning,junior_professional,Describe a time you learned a new tool quickly.,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used mentor, course, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",56,79,98,78,69,pass
