id,skill_area,experience_band,question,answer_text,word_count,keyword_hits,clarity_score,relevance_score,correctness_score,target_score,target_label
792,Operating Systems,fresher,"How would you handle a Operating Systems problem during a payment workflow? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. I would validate this with tests.,22,1,10,1,18,10,fail
793,Software Engineering,junior_professional,"How would you handle a Software Engineering problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include requirements, scalability, debugging. I would communicate the risk clearly.",26,3,56,51,43,51,fail
794,DSA,industry_veteran,"How would you handle a DSA problem during a production incident? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include dfs, binary search, bfs, hash map, graphs. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. ",69,5,74,100,76,77,pass
795,Networking,fresher,"How would you handle a Networking problem for a university career platform? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include routing, dns, tcp, tls. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",43,4,55,66,86,67,fail
796,Software Engineering,junior_professional,"How would you handle a Software Engineering problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include trade-offs, code review, maintainability. I would validate this with tests.",26,3,69,64,42,49,fail
797,DSA,fresher,"How would you handle a DSA problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include complexity, heap, graphs, binary search. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",47,4,61,88,54,68,fail
798,DSA,junior_professional,"How would you handle a DSA problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include bfs, complexity, heap, dfs, dynamic programming. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",66,5,96,100,80,91,pass
799,React,senior_professional,"How would you handle a React problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include hooks, accessibility, memoization. I would validate this with tests.",33,3,84,49,35,37,fail
800,MERN Stack,senior_professional,"How would you handle a MERN Stack problem for a university career platform? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include api integration, node, jwt, react. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. ",38,4,74,41,61,63,fail
801,Operating Systems,junior_professional,"How would you handle a Operating Systems problem for a high traffic web app? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. I would keep the implementation simple where possible.,20,2,35,38,36,45,fail
802,DevOps,fresher,"How would you handle a DevOps problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. I would keep the implementation simple where possible.",20,1,15,17,15,20,fail
803,Django,industry_veteran,"How would you handle a Django problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include orm, middleware, caching, serializer, queryset. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. ",60,5,94,89,99,81,pass
804,MERN Stack,fresher,"How would you handle a MERN Stack problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include state management, react, express, node. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",46,4,92,92,82,92,pass
805,DevOps,industry_veteran,"How would you handle a DevOps problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include monitoring, blue green deployment, alerts. ",29,3,37,50,47,54,fail
806,Operating Systems,industry_veteran,"How would you handle a Operating Systems problem for a reporting dashboard? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. I would keep the implementation simple where possible.,30,2,32,54,64,56,fail
807,DevOps,mid_level_expert,"How would you handle a DevOps problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include docker, alerts, rollback, monitoring, terraform. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",67,5,100,85,86,97,pass
808,Software Engineering,senior_professional,"How would you handle a Software Engineering problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include maintainability, scalability, architecture, debugging. I would validate this with tests.",23,4,74,64,59,46,fail
809,DevOps,senior_professional,"How would you handle a DevOps problem during a payment workflow? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. I would communicate the risk clearly.",21,2,25,62,19,38,fail
810,DSA,junior_professional,"How would you handle a DSA problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include dynamic programming, hash map, dfs. I would keep the implementation simple where possible.",36,3,73,45,64,63,fail
811,Software Engineering,mid_level_expert,"How would you handle a Software Engineering problem for a university career platform? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include code review, trade-offs, scalability, debugging. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would keep the implementation simple where possible.",43,4,73,100,50,79,pass
812,MERN Stack,junior_professional,"How would you handle a MERN Stack problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include state management, mongo, react, routing, express. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",67,5,90,100,98,82,pass
813,React,senior_professional,"How would you handle a React problem during a production incident? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include context, component, hooks, state, accessibility. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. ",58,5,86,59,91,81,pass
814,React,mid_level_expert,"How would you handle a React problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include rendering, hooks, props, component, state. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",70,5,94,100,92,91,pass
815,DBMS,industry_veteran,"How would you handle a DBMS problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include transactions, query plan, joins, schema design, indexing. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",68,5,78,80,100,99,pass
816,MERN Stack,senior_professional,"How would you handle a MERN Stack problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. I would keep the implementation simple where possible.",23,2,41,45,32,50,fail
817,Django,senior_professional,"How would you handle a Django problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include orm, caching, middleware, celery. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. ",39,4,75,92,54,67,fail
818,Django,junior_professional,"How would you handle a Django problem during a production incident? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include caching, queryset, middleware, authentication, rest api. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",58,5,86,91,80,72,pass
819,React,senior_professional,"How would you handle a React problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include context, state, rendering, hooks. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would communicate the risk clearly.",47,4,85,84,62,86,pass
820,Operating Systems,mid_level_expert,"How would you handle a Operating Systems problem during a production incident? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include paging, deadlock, scheduling. I would keep the implementation simple where possible.",26,3,75,62,62,65,fail
821,DBMS,industry_veteran,"How would you handle a DBMS problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include normalization, joins, indexing. I would keep the implementation simple where possible.",35,3,39,50,19,49,fail
822,DevOps,fresher,"How would you handle a DevOps problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include rollback, blue green deployment, alerts. I would validate this with tests.",30,3,28,66,42,39,fail
823,Networking,fresher,"How would you handle a Networking problem in a logistics dashboard? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. I would validate this with tests.,17,2,36,40,64,16,fail
824,DevOps,junior_professional,"How would you handle a DevOps problem during a production incident? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include ci/cd, kubernetes, rollback, blue green deployment. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",51,4,93,82,61,61,fail
825,Artificial Intelligence,senior_professional,"How would you handle a Artificial Intelligence problem during a production incident? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include prompt engineering, evaluation, reasoning. I would validate this with tests.",33,3,73,41,37,60,fail
826,DevOps,mid_level_expert,"How would you handle a DevOps problem for a university career platform? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include docker, rollback, terraform. I would keep the implementation simple where possible.",24,3,63,47,62,44,fail
827,DBMS,industry_veteran,"How would you handle a DBMS problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include backup, query plan, normalization. I would communicate the risk clearly.",27,3,72,73,66,70,pass
828,MERN Stack,mid_level_expert,"How would you handle a MERN Stack problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include express, mongo, jwt, react, api integration. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. ",65,5,100,97,80,91,pass
829,Software Engineering,industry_veteran,"How would you handle a Software Engineering problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include maintainability, trade-offs, testing, architecture, code review. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",73,5,100,72,80,88,pass
830,DevOps,junior_professional,"How would you handle a DevOps problem for a high traffic web app? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include docker, kubernetes, monitoring. ",24,3,45,33,61,65,pass
831,React,mid_level_expert,"How would you handle a React problem during a production incident? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include state, hooks, rendering. I would validate this with tests.",27,3,64,50,40,51,fail
832,Django,industry_veteran,"How would you handle a Django problem during a payment workflow? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include serializer, queryset, middleware. I would validate this with tests.",31,3,64,57,51,51,fail
833,Networking,industry_veteran,"How would you handle a Networking problem during a production incident? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include tls, dns, latency, throughput. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",42,4,65,89,91,65,pass
834,Django,mid_level_expert,"How would you handle a Django problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include authentication, queryset, orm, celery, serializer. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",67,5,100,100,100,81,pass
835,Django,fresher,"How would you handle a Django problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include middleware, celery, authentication, orm. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",33,4,59,74,83,79,pass
836,DSA,industry_veteran,"How would you handle a DSA problem for a university career platform? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include graphs, dfs, heap, hash map. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",43,4,75,63,52,75,pass
837,Operating Systems,industry_veteran,"How would you handle a Operating Systems problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include scheduling, process, paging, deadlock, thread. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",68,5,78,100,86,100,pass
838,Software Engineering,mid_level_expert,"How would you handle a Software Engineering problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include architecture, maintainability, scalability, code review. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",49,4,82,72,67,66,fail
839,MERN Stack,junior_professional,"How would you handle a MERN Stack problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include api integration, react, mongo. I would validate this with tests.",24,3,53,49,40,42,fail
840,Software Engineering,senior_professional,"How would you handle a Software Engineering problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include trade-offs, scalability, debugging, maintainability, testing. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",68,5,90,62,96,73,pass
841,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include react, mongo, state management, express. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",47,4,67,59,56,50,fail
842,Networking,industry_veteran,"How would you handle a Networking problem for a university career platform? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. I would communicate the risk clearly.,23,2,36,69,37,48,fail
843,Software Engineering,fresher,"How would you handle a Software Engineering problem during a production incident? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include architecture, trade-offs, maintainability, code review. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. ",38,4,72,69,66,50,fail
844,Networking,industry_veteran,"How would you handle a Networking problem during a production incident? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include tls, latency, routing, dns, firewall. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",65,5,100,100,73,79,pass
845,Artificial Intelligence,junior_professional,"How would you handle a Artificial Intelligence problem for a university career platform? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. I would keep the implementation simple where possible.",19,2,35,26,46,26,fail
846,Artificial Intelligence,mid_level_expert,"How would you handle a Artificial Intelligence problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include guardrails, latency, reasoning, evaluation, hallucination. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. ",63,5,100,100,100,100,pass
847,OOP,fresher,"How would you handle a OOP problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include interface, encapsulation, composition, solid, design pattern. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. ",54,5,100,82,78,77,pass
848,Artificial Intelligence,senior_professional,"How would you handle a Artificial Intelligence problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include reasoning, retrieval, hallucination. I would keep the implementation simple where possible.",25,3,73,65,41,49,fail
849,Django,fresher,"How would you handle a Django problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include rest api, orm, queryset, authentication. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",47,4,78,78,100,62,fail
850,OOP,mid_level_expert,"How would you handle a OOP problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include abstraction, solid, polymorphism, design pattern, interface. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",73,5,100,100,100,90,pass
851,Artificial Intelligence,fresher,"How would you handle a Artificial Intelligence problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include guardrails, prompt engineering, latency, reasoning. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",40,4,87,88,84,73,pass
852,Django,industry_veteran,"How would you handle a Django problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include authentication, orm, middleware, caching, serializer. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",59,5,92,54,97,83,pass
853,React,mid_level_expert,"How would you handle a React problem during a payment workflow? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include memoization, component, state. I would communicate the risk clearly.",31,3,49,78,42,49,fail
854,OOP,junior_professional,"How would you handle a OOP problem during a production incident? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include encapsulation, inheritance, design pattern. I would validate this with tests.",30,3,80,45,48,50,fail
855,DBMS,junior_professional,"How would you handle a DBMS problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include backup, indexing, normalization. I would keep the implementation simple where possible.",24,3,72,65,44,48,fail
856,OOP,industry_veteran,"How would you handle a OOP problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include interface, encapsulation, polymorphism, design pattern. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",42,4,71,78,85,80,pass
857,DSA,junior_professional,"How would you handle a DSA problem for a reporting dashboard? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. I would communicate the risk clearly.,27,2,6,42,31,39,fail
858,Django,industry_veteran,"How would you handle a Django problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include queryset, serializer, rest api. I would validate this with tests.",32,3,52,61,54,68,fail
859,Operating Systems,industry_veteran,"How would you handle a Operating Systems problem during a production incident? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include thread, deadlock, mutex. I would communicate the risk clearly.",31,3,61,53,87,73,pass
860,Django,senior_professional,"How would you handle a Django problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include celery, middleware, caching. I would communicate the risk clearly.",30,3,58,34,33,46,fail
861,Django,mid_level_expert,"How would you handle a Django problem for a high traffic web app? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include authentication, orm, queryset. I would communicate the risk clearly.",29,3,51,42,52,62,fail
862,Operating Systems,junior_professional,"How would you handle a Operating Systems problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include deadlock, memory management, paging, scheduling. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would communicate the risk clearly.",39,4,88,65,78,62,fail
863,OOP,senior_professional,"How would you handle a OOP problem for a university career platform? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include encapsulation, abstraction, solid, inheritance, polymorphism. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. ",61,5,88,87,86,74,pass
864,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include api integration, mongo, react, jwt. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",45,4,65,59,26,72,pass
865,React,junior_professional,"How would you handle a React problem for a university career platform? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include props, hooks, state. I would validate this with tests.",34,3,59,42,47,35,fail
866,React,mid_level_expert,"How would you handle a React problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include memoization, rendering, context, accessibility. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would communicate the risk clearly.",46,4,89,93,71,86,pass
867,Artificial Intelligence,senior_professional,"How would you handle a Artificial Intelligence problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include prompt engineering, evaluation, vector search, reasoning. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",36,4,68,49,60,61,fail
868,MERN Stack,senior_professional,"How would you handle a MERN Stack problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include node, routing, express. I would validate this with tests.",27,3,55,57,59,55,fail
869,DevOps,fresher,"How would you handle a DevOps problem during a production incident? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include docker, ci/cd, terraform, kubernetes, blue green deployment. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",76,5,85,70,74,59,fail
870,Software Engineering,senior_professional,"How would you handle a Software Engineering problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include code review, requirements, maintainability. I would communicate the risk clearly.",26,3,62,23,66,63,fail
871,Django,senior_professional,"How would you handle a Django problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include rest api, serializer, celery, caching, authentication. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. ",54,5,84,53,82,73,pass
872,MERN Stack,mid_level_expert,"How would you handle a MERN Stack problem inside an interview coaching system? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. ,19,2,32,38,66,49,fail
873,Software Engineering,industry_veteran,"How would you handle a Software Engineering problem for a university career platform? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include code review, scalability, architecture. I would validate this with tests.",30,3,35,26,42,38,fail
874,DBMS,junior_professional,"How would you handle a DBMS problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include joins, locking, transactions. I would validate this with tests.",26,3,65,52,66,72,pass
875,Operating Systems,industry_veteran,"How would you handle a Operating Systems problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include scheduling, deadlock, process. I would keep the implementation simple where possible.",27,3,71,61,59,58,fail
876,DSA,fresher,"How would you handle a DSA problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include graphs, heap, complexity. I would validate this with tests.",27,3,73,51,60,52,fail
877,DevOps,senior_professional,"How would you handle a DevOps problem during a production incident? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include kubernetes, docker, monitoring. I would validate this with tests.",29,3,41,29,52,43,fail
878,DBMS,industry_veteran,"How would you handle a DBMS problem during a production incident? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include locking, query plan, indexing. ",26,3,67,54,78,56,fail
879,Artificial Intelligence,mid_level_expert,"How would you handle a Artificial Intelligence problem during a production incident? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include hallucination, vector search, reasoning. I would keep the implementation simple where possible.",28,3,69,26,54,52,fail
880,Networking,mid_level_expert,"How would you handle a Networking problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include latency, packet loss, tls, routing. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",54,4,66,81,94,56,fail
881,Artificial Intelligence,fresher,"How would you handle a Artificial Intelligence problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include vector search, latency, hallucination, evaluation, guardrails. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",73,5,92,54,73,82,pass
882,Software Engineering,industry_veteran,"How would you handle a Software Engineering problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include testing, requirements, maintainability, debugging, scalability. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",69,5,78,69,82,97,pass
883,MERN Stack,junior_professional,"How would you handle a MERN Stack problem for a university career platform? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include node, mongo, routing, state management, express. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. ",64,5,64,72,100,93,pass
