question_id,question,topic,subtopic,difficulty,role,option_a,option_b,option_c,option_d,correct_answer,explanation,expected_time,experience_level
DBMS032,A transaction in a DBMS represents:,DBMS,Transactions Basics,medium,all,A single SQL SELECT statement,A logical unit of work that must be completed fully or not at all,A stored procedure with multiple outputs,A scheduled database backup operation,b,A transaction is an atomic unit of work: all operations succeed together or all are rolled back.,28,2-3
DBMS033,COMMIT in a transaction context means:,DBMS,Transactions Basics,medium,all,Undo all changes made since the last COMMIT,Save all changes permanently to the database,Lock all tables involved in the transaction,Begin a new transaction block,b,"COMMIT finalises a transaction, making all its changes durable and visible to other transactions.",25,2-3
DBMS034,Which of the following best describes a CLUSTERED index?,DBMS,Indexing Basics,medium,all,An index stored separately from the table data,An index where the table rows are physically stored in index key order,An index that allows multiple NULL values per key,An index created automatically on every column,b,A clustered index dictates the physical order of rows in the table; only one clustered index is allowed per table.,32,2-3
DBMS035,A NON-CLUSTERED index differs from a clustered index in that it:,DBMS,Indexing Basics,medium,all,Cannot be created on a primary key column,Stores index data and row pointers separately from the actual table rows,Physically reorders the table rows,Is always slower than a full table scan,b,"Non-clustered indexes maintain a separate structure with pointers to the actual data rows, leaving table storage order unchanged.",32,2-3
DBMS036,Which SQL JOIN produces a Cartesian product (every combination of rows)?,DBMS,SQL Joins,medium,all,INNER JOIN,NATURAL JOIN,CROSS JOIN,SELF JOIN,c,CROSS JOIN returns the Cartesian product: every row of the first table paired with every row of the second table.,28,2-3
DBMS037,"Given: Employee(EmpID, Name, DeptID) and Department(DeptID, DeptName). Which query lists each employee with their department name, including employees not yet assigned to a department?",DBMS,SQL Joins,medium,all,"SELECT Name, DeptName FROM Employee INNER JOIN Department USING (DeptID)","SELECT Name, DeptName FROM Employee LEFT JOIN Department ON Employee.DeptID = Department.DeptID","SELECT Name, DeptName FROM Employee RIGHT JOIN Department ON Employee.DeptID = Department.DeptID","SELECT Name, DeptName FROM Employee CROSS JOIN Department",b,LEFT JOIN retains all Employee rows; employees without a matching DeptID get NULL for DeptName.,38,2-3
DBMS038,A UNIQUE constraint differs from a PRIMARY KEY constraint in that UNIQUE:,DBMS,Constraints,medium,all,Allows one NULL value per column (in most RDBMS implementations) and multiple UNIQUE constraints per table are permitted,Does not allow any NULL values,Can only be applied to integer columns,Automatically creates a clustered index,a,"UNIQUE allows one NULL (since NULL ≠ NULL in SQL) and a table can have multiple UNIQUE constraints, unlike PRIMARY KEY.",35,2-3
DBMS039,What is a functional dependency X → Y?,DBMS,Functional Dependencies,medium,all,"For every value of X, there is exactly one corresponding value of Y",Y determines X uniquely,X and Y must always have the same data type,Y can take multiple values for a single value of X,a,X → Y means that knowing X uniquely determines Y; each X value maps to exactly one Y value.,30,2-3
DBMS040,Which SQL statement rolls back all changes made in the current transaction?,DBMS,Transactions Basics,medium,all,UNDO,REVERT,ROLLBACK,ABORT TRANSACTION,c,"ROLLBACK undoes all DML changes made since the last COMMIT, restoring the database to its prior consistent state.",25,2-3
DBMS041,"Which ACID property guarantees that once a transaction is committed, it remains so even in the event of a system failure?",DBMS,ACID Properties,hard,all,Atomicity,Consistency,Isolation,Durability,d,"Durability ensures committed transactions survive crashes, typically via write-ahead logging (WAL) or similar mechanisms.",40,3+
DBMS042,"Transaction T1 reads a value, then Transaction T2 updates and commits it, and T1 reads the new value in the same transaction. This phenomenon is called:",DBMS,Transaction Isolation Levels,hard,all,Dirty read,Non-repeatable read,Phantom read,Lost update,b,A non-repeatable read occurs when a row read twice in the same transaction returns different data due to another committed update.,45,3+
DBMS043,Which transaction isolation level prevents dirty reads but still allows non-repeatable reads and phantom reads?,DBMS,Transaction Isolation Levels,hard,all,READ UNCOMMITTED,READ COMMITTED,REPEATABLE READ,SERIALIZABLE,b,"READ COMMITTED only reads committed data (no dirty reads) but does not lock the rows between reads, allowing non-repeatable and phantom reads.",45,3+
DBMS044,"In a WAIT-FOR graph used for deadlock detection, a deadlock is confirmed when:",DBMS,Deadlock Detection and Prevention,hard,all,The graph has more nodes than edges,A cycle is detected in the graph,Any transaction has been waiting for more than 30 seconds,Two transactions access the same table simultaneously,b,A cycle in the wait-for graph indicates that a set of transactions are mutually blocking each other — a deadlock.,50,3+
DBMS045,Which deadlock prevention strategy ensures that a transaction requesting a resource held by an older transaction is always aborted?,DBMS,Deadlock Detection and Prevention,hard,all,Wait-Die scheme,Wound-Wait scheme,Two-Phase Locking,Timestamp ordering,b,Wound-Wait: an older transaction 'wounds' (aborts) a younger one holding the needed resource; younger transactions wait for older ones.,55,3+
DBMS046,A query optimizer chooses between a nested-loop join and a hash join. For which scenario is a HASH JOIN generally preferred?,DBMS,Query Optimization,hard,all,When one table is very small and fits in a single page,When joining two large tables on an equality predicate with no useful index,"When the join condition uses a range predicate (e.g., A.val < B.val)",When the query includes an ORDER BY on the join key,b,Hash join is efficient for large equi-joins without supporting indexes; it hashes one table and probes with the other in O(N+M) time.,55,3+
DBMS047,A B-Tree index on column 'salary' has height h=3 and branching factor k=100. Approximately how many disk I/Os are needed to locate a single salary value using this index?,DBMS,Indexing (B-Tree),hard,all,100,3–4 (one per level plus the data page),log₂(N) where N is the number of rows,1 (data is always cached),b,"A B-Tree search traverses one node per level (3 levels) plus accesses the data page, typically 3–4 disk I/Os regardless of table size.",55,3+
DBMS048,"Consider: SELECT * FROM Orders WHERE customer_id = 42 AND order_date > '2024-01-01'. An index exists on (customer_id, order_date). This index is an example of a:",DBMS,Indexing,hard,all,Covering index for this query only if all projected columns are in the index,Composite index that can efficiently support the predicate using both columns,Hash index for equality lookups,Bitmap index suitable for high-cardinality columns,b,"A composite index on (customer_id, order_date) supports the equality on customer_id first and then a range scan on order_date, making the query highly efficient.",55,3+
DBMS049,"What does the following SQL query return?

SELECT e.name
FROM employees e
WHERE e.salary > (
    SELECT AVG(salary)
    FROM employees
    WHERE dept_id = e.dept_id
);",DBMS,Complex SQL / Subqueries,hard,all,Employees whose salary is above the company-wide average,Employees who earn more than the average salary of their own department,Departments where the average salary exceeds the global average,Employees in the highest-paying department,b,"The correlated subquery runs once per row, computing the average salary for that employee's specific department, then filters employees above it.",60,3+
DBMS050,"In Two-Phase Locking (2PL), the 'shrinking phase' refers to:",DBMS,ACID Properties / Concurrency,hard,all,The phase where the transaction acquires all necessary locks,The phase where the transaction releases locks and may not acquire any new ones,A rollback triggered by a detected deadlock,The phase where MVCC snapshots are invalidated,b,"2PL has two phases: growing (acquiring locks) and shrinking (releasing locks, no new acquisitions allowed), ensuring serializability.",55,3+
PF001,"What will be printed?

x = 5
y = x
x = 10
print(y)",Programming Fundamentals,Variables and Data Types,easy,all,10,5,15,Error,b,y is assigned the VALUE of x (5) at the time of assignment. Changing x later does not affect y. Python integers are immutable; assignment copies the value.,20,0-1
PF002,"What is the output?

print(2 + 3 * 4 - 1)",Programming Fundamentals,Operators – Arithmetic,easy,all,19,13,20,12,b,"Operator precedence: multiplication first → 3*4=12, then left-to-right → 2+12=14, 14-1=13.",20,0-1
PF003,"What is the output?

x = '3'
y = '4'
print(x + y)",Programming Fundamentals,Operators – String Concatenation,easy,all,7,34,'34',Error,b,"Both x and y are strings. '+' on strings is concatenation, not addition. Result is '34', printed without quotes as 34.",20,0-1
PF004,"What does this print?

s = 'ab' * 3
print(len(s))",Programming Fundamentals,Strings – Basic Operations,easy,all,3,2,6,ababab,c,'ab'*3 produces 'ababab' (6 characters). len('ababab') = 6.,20,0-1
PF005,"What will be printed?

i = 1
while i < 5:
    i *= 2
print(i)",Programming Fundamentals,Loops – While,easy,all,4,5,8,2,c,"Trace: i=1→2 (2<5)→4 (4<5)→8 (8≮5, stop). Loop exits when i=8, so 8 is printed.",25,0-1
PF006,"What is the output?

x = 9 // 2
print(x * 2)",Programming Fundamentals,Operators – Integer Division,easy,all,9,8,10,4.5,b,9 // 2 = 4 (floor division discards remainder). 4 * 2 = 8.,20,0-1
PF007,"What will this code print?

for i in range(1, 5):
    print(i, end=' ')",Programming Fundamentals,Loops – for / range,easy,all,1 2 3 4 5,1 2 3 4,0 1 2 3 4,1 2 3,b,"range(1, 5) generates 1, 2, 3, 4. The stop value (5) is exclusive.",20,0-1
PF008,"What is the output?

x = 10
def foo():
    x = 20
foo()
print(x)",Programming Fundamentals,Scope – Local vs Global,easy,all,20,10,Error,,b,x inside foo() is a LOCAL variable; it does not overwrite the global x. The global x remains 10.,25,0-1
PF009,"What is printed?

x = 0
if x:
    print('Yes')
else:
    print('No')",Programming Fundamentals,Conditional Statements,easy,all,Yes,No,0,Error,b,"In Python, 0 is falsy. 'if x' evaluates to False, so the else branch executes.",20,0-1
PF010,"What will be the output?

s = 'Hello'
print(s[1])",Programming Fundamentals,Strings – Indexing,easy,all,H,e,l,Error,b,"String indexing is 0-based. s[0]='H', s[1]='e'. So s[1] prints 'e'.",20,0-1
PF011,"What is the output?

for i in range(10):
    if i == 5:
        break
print(i)",Programming Fundamentals,Loops – break,easy,all,4,5,10,9,b,"Loop breaks when i=5. After the loop, i still holds the last assigned value (5). print(i) outputs 5.",25,0-1
PF012,"What is the output?

arr = [10, 20, 30, 40]
print(arr[-1])",Programming Fundamentals,Arrays – Negative Indexing,easy,all,10,Error,40,30,c,Negative indexing starts from the end. arr[-1] is the last element: 40.,20,0-1
PF013,"What does this print?

x = int(3.9)
print(x)",Programming Fundamentals,Variables and Data Types – Type Conversion,easy,all,4,3,3.9,Error,b,int() truncates toward zero; it does NOT round. int(3.9) = 3.,20,0-1
PF014,"What will be the output?

total = 0
for i in range(1, 6):
    if i == 3:
        continue
    total += i
print(total)",Programming Fundamentals,Loops – continue,easy,all,15,12,9,10,b,"range(1,6) = 1,2,3,4,5. 'continue' skips i=3. Sum = 1+2+4+5 = 12.",25,0-1
PF015,"What is printed?

a = 5
b = 10
a, b = b, a
print(a, b)",Programming Fundamentals,Variables and Data Types – Swap,easy,all,5 10,10 5,10 10,Error,b,"Python tuple unpacking swaps values atomically. a becomes 10, b becomes 5.",20,0-1
PF016,"What will be the output?

x = 15
if x > 10:
    if x > 20:
        print('A')
    else:
        print('B')
else:
    print('C')",Programming Fundamentals,Conditional Statements – Nested if/else,easy,all,A,B,C,Error,b,x=15 > 10 → enter outer if. x=15 is NOT > 20 → inner else executes. Prints 'B'.,25,0-1
PF017,"What is the result?

def add(a, b):
    return a + b

result = add(3, 4)
print(result * 2)",Programming Fundamentals,Functions – Return Values,easy,all,7,14,34,Error,b,"add(3,4) returns 7. 7 * 2 = 14.",20,0-1
PF018,"What does this print?

x = 5
result = x > 3 or x > 10
print(result)",Programming Fundamentals,Operators – Logical,easy,all,True,False,5,Error,a,x>3 is True. 'or' short-circuits: True or anything = True. x>10 is never evaluated.,20,0-1
PF019,"What is the output?

count = 0
for i in range(5):
    count += 1
print(count)",Programming Fundamentals,Loops – for / Counting,easy,all,4,5,6,0,b,"range(5) generates 0,1,2,3,4 — five iterations. count increments once per iteration → 5.",20,0-1
PF020,"What is the output?

result = 1
for i in range(1, 5):
    result *= i
print(result)",Programming Fundamentals,Loops – Accumulator Pattern,easy,all,10,24,120,4,b,"range(1,5) = 1,2,3,4. 1*1=1, 1*2=2, 2*3=6, 6*4=24. Result is 24.",25,0-1
PF021,"What is the output?

for i in range(1, 4):
    for j in range(1, 4):
        if i == j:
            print(i, end=' ')",Programming Fundamentals,Loops – Nested,medium,all,1 2 3,1 4 9,1 1 2 2 3 3,Error,a,"Print only when i==j. i=1,j=1 → print 1; i=2,j=2 → print 2; i=3,j=3 → print 3. Output: '1 2 3'.",35,2-3
PF022,"What is the output?

def greet(name, msg='Hello'):
    return msg + ' ' + name

print(greet('Alice'))
print(greet('Bob', 'Hi'))",Programming Fundamentals,Functions – Default Parameters,medium,all,"Hello Alice
Hi Bob","Alice Hello
Bob Hi","Hello Alice
Hello Bob",Error,a,"greet('Alice') uses default msg='Hello' → 'Hello Alice'. greet('Bob','Hi') overrides default → 'Hi Bob'.",30,2-3
PF023,"How many times does 'count += 1' execute?

count = 0
for i in range(3):
    for j in range(3):
        count += 1
print(count)",Programming Fundamentals,Loops – Nested Counting,medium,all,6,9,3,27,b,"Outer loop runs 3 times; for each outer iteration, inner runs 3 times. Total = 3 × 3 = 9.",30,2-3
PF024,"What is the bug in this code?

i = 10
while i > 0:
    print(i)
    i += 1",Programming Fundamentals,Debugging – Infinite Loop,medium,all,"Infinite loop — i keeps increasing, condition i>0 is always True",Nothing is wrong; it terminates normally,i should be initialized to 0,The condition should be i < 0,a,"i starts at 10 (>0) and increments each iteration, so it will NEVER become ≤ 0. Correct fix: i -= 1.",35,2-3
PF025,"What is the output?

def check(n):
    if n % 2 == 0:
        return True
    return False

x = check(7)
print(not x)",Programming Fundamentals,Functions – Return Values + Logical Operators,medium,all,True,False,Error,,a,check(7): 7%2==1 ≠ 0 → returns False. not False = True. Prints True.,30,2-3
PF026,"What is the output?

arr = [1, 2, 3, 4, 5]
total = 0
for i in range(0, len(arr), 2):
    total += arr[i]
print(total)",Programming Fundamentals,Arrays – Traversal with Step,medium,all,15,9,6,Error,b,"range(0, 5, 2) → indices 0, 2, 4. arr[0]+arr[2]+arr[4] = 1+3+5 = 9.",35,2-3
PF027,"What is the output?

s = 'programming'
print(s[0:4])",Programming Fundamentals,Strings – Slicing,medium,all,prog,pro,rogr,programming,a,"Slice [0:4] includes indices 0,1,2,3. 'p','r','o','g' → 'prog'.",30,2-3
PF028,"What happens when this code runs?

x = 5
def modify():
    x = x + 1
    return x
print(modify())",Programming Fundamentals,Scope – UnboundLocalError,medium,all,6,5,UnboundLocalError (x referenced before assignment),,c,Python sees 'x = ...' inside the function and treats x as local. Reading x before assignment raises UnboundLocalError. Fix: use 'global x'.,35,2-3
PF029,"What is the output?

score = 75
if score >= 90:
    grade = 'A'
elif score >= 80:
    grade = 'B'
elif score >= 70:
    grade = 'C'
else:
    grade = 'D'
print(grade)",Programming Fundamentals,Conditional Statements – elif Chain,medium,all,B,C,D,A,b,"75 < 90, 75 < 80, 75 >= 70 → third condition is True. grade = 'C'.",30,2-3
PF030,"What is the output?

def double(lst):
    for i in range(len(lst)):
        lst[i] *= 2
    return lst

a = [1, 2, 3]
b = double(a)
print(a)",Programming Fundamentals,Functions – Mutable Arguments,medium,all,"[1, 2, 3]","[2, 4, 6]",Error,,b,"Lists are passed by reference. double(a) modifies the original list in-place. After the call, a = [2, 4, 6].",35,2-3
PF031,"What happens when this code runs?

arr = [10, 20, 30, 40, 50]
for i in range(1, len(arr) + 1):
    print(arr[i])",Programming Fundamentals,Debugging – Off-by-One / IndexError,medium,all,Prints all 5 elements normally,Prints 20 30 40 50 then raises IndexError,Prints 10 20 30 40 50,Nothing is printed,b,"range(1, 6) → indices 1–5. arr[1]=20...arr[4]=50 print fine. arr[5] does not exist → IndexError. Fix: range(len(arr)).",35,2-3
PF032,"What is the output?

x = 1
while x < 100:
    x *= 3
print(x)",Programming Fundamentals,Loops – While Tracing,medium,all,81,243,100,27,b,"Trace: 1→3→9→27→81→243. 243 ≮ 100, loop stops. Prints 243.",35,2-3
PF033,"What pattern does this code print?

for i in range(1, 4):
    for j in range(i):
        print('*', end='')
    print()",Programming Fundamentals,Loops – Nested Pattern,medium,all,"*
**
***","***
**
*","*
*
*",Error,a,i=1: range(1)→1 star; i=2: range(2)→2 stars; i=3: range(3)→3 stars. Each row ends with print() (newline). Triangle grows downward.,35,2-3
PF034,"Trace this pseudocode. What is printed?

SET x = 0
FOR i FROM 1 TO 5
    IF i MOD 2 == 0
        SET x = x + i
PRINT x",Programming Fundamentals,Algorithm Basics – Pseudocode Tracing,medium,all,15,6,9,12,b,Even numbers in 1–5: 2 and 4. x = 0+2+4 = 6.,35,2-3
PF035,"What is the output?

count = 0
def increment():
    global count
    count += 1

increment()
increment()
print(count)",Programming Fundamentals,Scope – Global Keyword,medium,all,0,1,2,Error,c,'global count' allows the function to modify the global variable. Called twice → count = 2.,30,2-3
PF036,"What does this code print?

def is_positive(n):
    if n > 0:
        return False
    else:
        return True

print(is_positive(5))",Programming Fundamentals,Debugging – Logical Error in Function,medium,all,True,False,Error,,b,"n=5 > 0 is True, so the function returns False. The function has a logical inversion bug (returns False for positive), but the printed output is False.",35,2-3
PF037,"What is the output?

arr = [3, 1, 4, 1, 5, 9, 2]
max_val = arr[0]
for i in range(1, len(arr)):
    if arr[i] > max_val:
        max_val = arr[i]
print(max_val)",Programming Fundamentals,Algorithm Basics – Linear Search / Max,medium,all,3,5,9,2,c,"The algorithm tracks the running maximum. Scanning [3,1,4,1,5,9,2], the largest value is 9.",35,2-3
PF038,"What is the output?

def mystery(n):
    if n == 0:
        return 0
    return n + mystery(n - 1)

print(mystery(4))",Programming Fundamentals,Functions – Recursion Tracing,medium,all,4,10,0,Error,b,Unwinds: mystery(4)=4+mystery(3)=4+3+mystery(2)=...=4+3+2+1+0=10. This is 1+2+3+4 = 10.,40,2-3
PF039,"What is the output?

a = 'apple'
b = 'banana'
print(a < b)",Programming Fundamentals,Strings – Comparison / Lexicographic Order,medium,all,True,False,Error,0,a,Strings compare lexicographically. First character: 'a' (97) < 'b' (98). So 'apple' < 'banana' is True.,30,2-3
PF040,"What will this code output?

s = ''
for i in range(5):
    s += str(i)
print(s)",Programming Fundamentals,Strings – Concatenation in Loop,medium,all,01234,10,0 1 2 3 4,Error,a,Each digit is converted to a string and concatenated. s = '0'+'1'+'2'+'3'+'4' = '01234'.,30,2-3
PF041,"What is the final value of 'result'?

result = 0
for i in range(1, 5):
    for j in range(1, i + 1):
        result += j
print(result)",Programming Fundamentals,Loops – Complex Nested Accumulation,hard,all,10,20,15,16,b,"i=1: j=1 → +1 (total=1). i=2: j=1,2 → +3 (total=4). i=3: j=1,2,3 → +6 (total=10). i=4: j=1,2,3,4 → +10 (total=20).",60,3+
PF042,"What is the output?

def double(x):
    return x * 2

def apply(func, value):
    return func(value) + 1

print(apply(double, 5))",Programming Fundamentals,Functions – Higher-Order Functions,hard,all,10,11,12,Error,b,apply receives 'double' as a function reference. func(5) = double(5) = 10. 10 + 1 = 11.,50,3+
PF043,"This function is supposed to compute n! but returns a WRONG answer for n=5. What is printed and what is the bug?

def factorial(n):
    result = 1
    for i in range(1, n):
        result *= i
    return result

print(factorial(5))",Programming Fundamentals,Debugging – Off-by-One in Loop,hard,all,"120 — no bug, correct answer","24 — range(1, n) misses n; fix: range(1, n+1)",60 — multiplies wrong values,Error — factorial not defined,b,"range(1, 5) = 1,2,3,4 → 1*2*3*4 = 24. Correct 5! = 120. Bug: range should be range(1, n+1) to include n itself.",55,3+
PF044,"What is the complete output?

x = 1
def outer():
    x = 2
    def inner():
        x = 3
        print(x)
    inner()
    print(x)

outer()
print(x)",Programming Fundamentals,Scope – Nested Functions / Closures,hard,all,"3
2
1","1
2
3","3
3
1",Error,a,inner() has its own local x=3 → prints 3. outer() has local x=2 (unchanged by inner) → prints 2. Global x=1 unchanged → prints 1.,60,3+
PF045,"What is the output?

def sum_list(lst):
    total = 0
    for i in range(len(lst) - 1):
        total += lst[i]
    return total

print(sum_list([1, 2, 3, 4, 5]))",Programming Fundamentals,Debugging – Off-by-One in Traversal,hard,all,15,10,14,Error,b,"range(len(lst)-1) = range(4) = 0,1,2,3. Sums lst[0]+lst[1]+lst[2]+lst[3] = 1+2+3+4 = 10. lst[4]=5 is never added. Fix: range(len(lst)).",55,3+
PF046,"Dry-run this binary search. What index is returned?

def search(arr, target):
    low, high = 0, len(arr) - 1
    while low <= high:
        mid = (low + high) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid + 1
        else:
            high = mid - 1
    return -1

arr = [1, 3, 5, 7, 9]
print(search(arr, 7))",Programming Fundamentals,Algorithm Basics – Binary Search Dry Run,hard,all,2,3,4,-1,b,"Round 1: low=0, high=4, mid=2, arr[2]=5 < 7 → low=3. Round 2: low=3, high=4, mid=3, arr[3]=7 == 7 → return 3.",65,3+
PF047,"What is printed (all on one line)?

for i in range(1, 6):
    if i % 2 == 0:
        for j in range(i):
            print(j, end=' ')
print()",Programming Fundamentals,Loops – Conditional Nested Output,hard,all,0 1 0 1 2 3,0 1 2 0 1 2 3 4,2 4,Error,a,"Even i in range(1,6): i=2 → range(2) → print 0 1; i=4 → range(4) → print 0 1 2 3. Full output on one line: '0 1 0 1 2 3'.",60,3+
PF048,"What are both values printed?

def square(n):
    return n * n

def is_even(n):
    return n % 2 == 0

def process(n):
    s = square(n)
    if is_even(s):
        return s // 2
    return s

print(process(3))
print(process(4))",Programming Fundamentals,Functions – Multi-Function Interaction,hard,all,"9
8","9
16","3
4",Error,a,"process(3): square(3)=9, is_even(9)=False → return 9. process(4): square(4)=16, is_even(16)=True → return 16//2=8. Prints 9 then 8.",60,3+
PF049,"What is the output?

matrix = [[1,2,3],[4,5,6],[7,8,9]]
total = 0
for i in range(len(matrix)):
    for j in range(len(matrix[i])):
        if i == j:
            total += matrix[i][j]
print(total)",Programming Fundamentals,Arrays – 2D Matrix Diagonal Sum,hard,all,45,15,25,12,b,"Condition i==j selects the main diagonal: matrix[0][0]=1, matrix[1][1]=5, matrix[2][2]=9. 1+5+9 = 15.",65,3+
PF050,"This code is supposed to reverse a string but has a bug. What does it actually print for s='hello'?

def reverse_str(s):
    result = ''
    for i in range(len(s)):
        result = result + s[i]
    return result

print(reverse_str('hello'))",Programming Fundamentals,Debugging – String Reversal Logic Error,hard,all,olleh,hello,helo,Error,b,"The loop appends s[i] to the RIGHT of result, building the string in original order. Prints 'hello' (unchanged). Fix: result = s[i] + result (prepend each character).",65,3+
FED001,"What will be the computed style color value if you apply: `<div style=""color: red;"">Text</div>`?",HTML/CSS,Styling Basics,easy,Frontend Developer,red,#FF0000,Either A or B (both are valid),undefined,c,Both 'red' and '#FF0000' are valid CSS color values. The browser normalizes them to the same computed value internally.,20,1-2
FED002,What happens when you use `display: inline;` on a `<div>` element and then try to set `width: 100px;`?,HTML/CSS,Box Model,easy,Frontend Developer,Width is applied successfully,"Width is ignored, element stays as wide as content",Width forces the element to break to new line,Width creates overflow,b,Inline elements ignore width and height properties. You need `display: inline-block;` or `block;` to apply dimensions.,18,1-2
FED003,Which CSS selector has the HIGHEST specificity?,HTML/CSS,Selectors,easy,Frontend Developer,#header .nav ul li a:hover,.header-nav a:hover,a:hover,a,a,"Option A has an ID (#header = 100 points), 3 classes, 2 elements = highest specificity. Specificity: IDs > Classes > Elements.",22,1-2
FED004,What will `padding: 10px 20px;` set on an element?,HTML/CSS,Spacing,easy,Frontend Developer,10px on all sides,"10px top/bottom, 20px left/right",20px on all sides,"10px left, 20px right",b,"CSS shorthand works: padding: [vertical] [horizontal]. So 10px affects top/bottom, 20px affects left/right.",15,1-2
FED005,"You have a responsive layout. At tablet width, you need different padding. Should you use inline styles or media queries?",HTML/CSS,Responsive Design,medium,Frontend Developer,Inline styles in HTML (easier to read),Media queries in CSS (maintainability + separation of concerns),Both inline and media queries together,JavaScript to change styles dynamically,b,Media queries separate presentation logic from HTML structure. Inline styles mix content with presentation and are hard to maintain.,35,1-2
FED006,"A button has `box-shadow: 0 4px 8px rgba(0,0,0,0.2);`. When the user hovers, shadow should deepen. What's the issue with adding another shadow on :hover?",HTML/CSS,Effects & Transitions,medium,Frontend Developer,Multiple shadows don't work in CSS,"The new shadow will REPLACE the old one, not stack (must use comma-separated shadows)","Shadows stack automatically, no issue",You need JavaScript to manage shadows,b,"On :hover, if you write `box-shadow: 0 6px 12px rgba(0,0,0,0.3);`, it replaces the original. Use commas for stacking: `box-shadow: 0 4px 8px rgba(0,0,0,0.2), 0 6px 12px rgba(0,0,0,0.3);`",40,2-3
FED007,You're building a grid layout: `display: grid; grid-template-columns: 1fr 2fr 1fr;`. A child item needs to span 2 columns. What's the fix?,HTML/CSS,Grid Layout,medium,Frontend Developer,Add `width: 50%;` to the child,Use `grid-column: span 2;` on the child,Change grid-template-columns to have 4 columns,Use `flex: 2;` instead of grid,b,`grid-column: span 2;` makes an item span 2 columns. Width % won't work in grid because grid handles sizing.,38,2-3
FED008,A large website has cascading styles causing specificity wars. Styles from line 100 override line 50 even though line 50 has higher specificity. What's likely happening?,HTML/CSS,CSS Cascade,medium,Frontend Developer,Browser bug,Line 100 has `!important;` declaration,CSS files are loaded in wrong order,Media queries override all styles,b,`!important` overrides specificity. Even a low-specificity selector with `!important` beats higher specificity without it.,42,2-3
FED009,"You need a mobile-first responsive site. At what viewport width should transitions between layouts happen, and where should you place the media query?",HTML/CSS,Mobile Responsiveness,hard,Frontend Developer,"At 768px (tablet), placed after mobile styles","At breakpoint where content breaks (often 480px, 768px, 1024px), using `min-width` in mobile-first approach",Only at 1920px for desktop,"Media queries break performance, use JavaScript instead",b,"Mobile-first means base styles are mobile, then use `@media (min-width: 768px)` for larger screens. Breakpoints depend on content, not device standards.",55,2-3
FED010,A CSS animation: `@keyframes slide { 0% { left: 0; } 100% { left: 100px; } }` isn't working on an element. What's the most likely reason?,HTML/CSS,Animations,hard,Frontend Developer,The element needs `animation: slide 1s;`,The element needs `position: relative;` or `position: absolute;` for `left` to work,Keyframes syntax is wrong,Browser doesn't support animations,b,"`left` property only works on positioned elements (relative, absolute, fixed). Without positioning, animations on `left` have no effect.",50,2-3
FED011,You're optimizing a design system with 50+ color variables. A designer changes brand blue from `#0066CC` to `#0052A3`. What's the BEST way to manage this?,HTML/CSS,CSS Variables & Scalability,hard,Frontend Developer,Find and replace `#0066CC` with `#0052A3` across all CSS files,"Use CSS custom properties: `--primary-blue: #0052A3;` defined once, used everywhere",Create a color theme JavaScript object,Update HTML color attributes manually,b,"CSS custom properties (variables) ensure single source of truth. Change once, update everywhere. Much better than find-replace or JS.",48,2-3
FED012,"A sidebar has `position: fixed; width: 250px;` but it's causing horizontal scrollbar on mobile. Why, and what's the fix?",HTML/CSS,Layout Issues,hard,Frontend Developer,Increase viewport width in HTML meta tag,Fixed positioning adds to layout flow; use media query to change to `position: static;` on mobile,Remove `width: 250px;`,Add `overflow-x: hidden;` to body,b,"On small screens, fixed-width sidebars exceed viewport. Solution: use media query to switch to `position: static;` or `display: none;` on mobile, or use responsive width like max-width.",60,3
FED013,What will this code output: `console.log(typeof 'hello');`?,JavaScript,Data Types,easy,Frontend Developer,string,'string',String,object,a,`typeof` returns a string representing the type. So it outputs: string (not quoted in console output).,12,1
FED014,What's the result of: `console.log([] == false);`?,JavaScript,Type Coercion,easy,Frontend Developer,true,false,undefined,Error,a,"Empty array [] coerces to empty string '', which coerces to 0, and false also coerces to 0. So 0 == 0 is true.",18,1
FED015,What does this function return: `function test() { return; }`?,JavaScript,Functions,easy,Frontend Developer,undefined,,empty,Error,a,A function with `return;` (no value) returns `undefined`. This is the default return value.,15,1
FED016,What will this output: `console.log(0.1 + 0.2 === 0.3);`?,JavaScript,Numbers & Precision,easy,Frontend Developer,true,false,undefined,Error,b,"Due to floating-point precision, 0.1 + 0.2 = 0.30000000000000004, not exactly 0.3. This is a famous JavaScript gotcha.",22,1
FED017,"A function needs to sum all arguments passed to it: `sum(1, 2, 3, 4)` should return 10. Which approach is BEST for modern JavaScript?",JavaScript,Rest Parameters,medium,Frontend Developer,Use `arguments` object: `function sum() { let total = 0; for(let i in arguments) total += arguments[i]; return total; }`,"Use rest parameters: `function sum(...args) { return args.reduce((a,b) => a+b, 0); }`","Pass an array: `sum([1,2,3,4])`",Use eval() to parse arguments,b,"Rest parameters (...args) are modern, clean, and create a real array. The `arguments` object is legacy and not array-like.",32,2
